BallSpeedMPS,VerticalLaunchAngleDeg,HorizontalLaunchAngleDeg,SpinRateRPM,SpinAxisDeg,TotalDistanceM
64.2,15.1,1.1,1645,-1.3,249.5
52.8,19.2,-0.1,3340,-3.3,179.3
62.5,10,-3.5,2780,-10,225.4
49,22.1,1.6,7020,-1.4,137.6
58.4,10.5,-5.5,2970,-7.4,204.8
55.2,8.2,3.8,3896,21.5,168.9
64,20.3,1.5,4300,1,203.2
46.1,9,-6.9,4071,9.1,135.3
67.3,5.1,-1,1620,-33.5,208.5
64.1,14.5,0.3,2592,-7.1,239.4
67.5,11.5,-0.8,2299,-12.3,242.8
66.6,11.6,1.3,3448,11.4,227.7
57.3,12.1,-2.2,2473,-0.1,205.7
52,5.2,-5.3,1958,-29.2,145.4
65.7,10.3,-4.6,2230,-14,238.7
71.3,16.8,-1.2,2348,-5.6,269.5
42.1,18.1,7.9,6062,12.5,122.7
56.5,6.2,3.1,4223,18.8,158
52.1,11,-2.1,3951,15.8,168.6
47.3,10.7,-1,1970,-42.8,132.4
63.3,9.9,0.9,2410,-21.7,226.2
23.4,13.1,-8,1302,20.8,47.4
76.3,9.9,-2.3,2120,-13,289.5
50.1,12.6,-3.3,4038,5.5,156.7
50.2,12.7,-5.4,3110,9.9,167.5
43.6,14.4,-3.7,2004,-16.1,137.8
54.3,19.8,12.1,4630,9.3,172.4
60.5,12.9,-0.1,3898,4.1,205.3
66.2,15.3,1.7,3080,0.7,240
42.6,18.2,9,3670,17,136.1
64.5,10.5,1.5,2090,-26.7,231.3
61.1,15.1,-3.1,5790,-2.3,184.6
64.3,8.9,0.2,1690,-13.6,231.3
46.3,13.7,-1.4,2640,-7.9,157
69.1,8.5,2.4,1700,3.3,252.3
36.6,36.2,0.9,7780,-3.4,89.3
72.6,9.3,2.8,3470,11.7,248.7
57.2,19.3,2.1,5616,8,172.8
62.9,5.8,0.4,1420,-35.8,188.6
55.6,19.2,-3.2,3590,13.6,186.2
52.1,13.6,5,3080,0.8,175.8
57.7,15.8,3.9,2500,10.9,213.3
33,6.9,16.1,1950,60,73.2
64.1,0.3,-1.9,1910,-59.5,71.2
57.7,17.6,3.8,3360,3.3,195.4
66.2,10.6,-0.6,3720,6.1,225.7
46.3,11.6,-1.2,1589,47.5,135.6
34.4,39.2,3.2,6710,4,82.2
36.3,21.6,4.3,6533,1.6,98.1
65.8,13.7,3.1,3363,3.8,232.8
60.8,19.1,1.3,2933,-4.4,212.7
64,13.7,-0.8,2889,5.5,234.6
67.1,8.6,-0.4,3377,-11.1,227.8
66.7,9,6.1,1920,-11.2,244.5
57.1,16.8,0.4,7256,-2.4,163.6
72.7,12.6,-3.7,3296,-7.3,257.4
69.4,7.7,7.3,1570,-10.8,246.5
60.5,10.4,3.9,5503,38.1,161.6
62.8,14.5,4,3717,0.3,210.8
56.1,15.3,4.8,5493,13.2,173.5
54.2,11.9,1.3,1654,-7,193
52,7.2,1,2600,-24.6,160.9
57.5,8.2,-1.7,1940,-5.3,197.1
67.7,14.4,2.9,2810,4.9,251.2
58.9,9.3,-5.9,3050,-26.2,199.8
59.3,10.9,0,2940,20.6,205.8
46.6,18.6,1.3,4100,-6.6,150.6
64.2,13.6,4.9,2620,4.4,239.1
62.1,16.4,4,4855,11.1,192.8
19.7,33.5,2.3,4080,4,43
39.1,2.8,-6.9,1810,-70.4,71.2
56.9,15,2.1,2230,-1.2,202.4
60.3,16.4,-0.4,2975,-3.6,217.5
64.2,14.3,3.5,1965,-21.1,242.4
52.9,13,-6.8,3180,-24.4,174.4
58,3.8,-5.4,2070,-6.3,172.5
29.7,25.4,5.2,3880,2.9,82.3
53.7,17,2.5,3331,0.8,184
39.6,0.4,12.6,1700,30.6,51.6
13.9,16.7,2.7,2110,2.6,23.3
51.2,15.1,-5.6,3280,-23.1,171.7
66.6,9.8,1.1,3896,18.2,231.1
65.6,13.7,2.6,2830,4.3,242.7
37,20.7,-3.6,3560,4.8,114.3
49.7,11.6,1,3510,20.4,162.4
69,11.9,3.1,1370,-25.8,245.9
52.2,21.3,0.9,7360,-1.5,146.5
55.9,21.5,7.8,5140,6.1,163.6
43.6,20.8,2.5,4120,1.2,137.7
48.1,21.1,3.2,4961,1.2,147.8
58.4,16.2,-0.2,4818,11.8,185.9
59.1,16.5,3.3,4360,13.5,192.7
67.6,5.8,-4.1,2210,-0.1,235.5
48.2,8.8,-0.3,1989,2.5,144.9
49.6,18.3,2.9,3640,-2.1,166.4
57.4,10.2,3.5,3530,6.5,191.5
47.4,21.4,2.9,4040,1.9,152.5
70.7,10,-1.7,2838,-3.4,259.2
64.7,12.3,4.7,2550,-6.2,234
62.7,11,-0.5,4440,8.4,203.7
66.5,5.3,2.6,1400,-23.2,213
70.8,4.7,-8,2030,-9.4,241.2
63,7.3,3.3,2729,10.2,219.2
11.3,27.4,1.5,3070,-5.9,16.6
52.8,14.7,-9,4050,-18.4,173.5
57.8,17.3,3.5,4700,14.5,178.2
67.2,8.4,-1.6,1500,-19.2,240.2
68.3,6.4,-2.8,2565,-10.5,240.9
46.3,28.9,5.2,6110,0,128.7
63.4,11.2,0.9,2630,17.5,230.1
58.7,11,-3.4,4604,11,189.1
65.2,11.5,5.6,1780,-4.7,246.7
56.2,12.9,-3.1,5630,0.2,173.1
63.1,18.1,5.7,4980,18.6,194.6
77.1,13,5.7,2370,-2,293.1
55.5,25.7,1,7590,5.8,147.8
59.1,15.5,0.8,2970,6.6,205.6
59.6,11.2,2.6,2910,-4.4,213.8
60.6,11.7,-0.9,3250,-7,214.9
61.3,19.7,1.4,4290,-1.8,197.8
48.5,10.9,5.7,1264,2.1,150.7
62.8,11.2,1,2590,-15.4,228.5
37.3,10.7,-11.6,10942,31.9,83
51.9,12.3,0.8,2280,-20.1,177.2
48.9,9.3,-2.3,2363,7.8,152.6
42.5,28.4,-1.1,6000,0.9,118.8
61,17.1,2.2,4424,14.6,194.8
31.1,19.7,-4.7,2226,-13,91
67.6,12.6,0.5,2935,-2.8,240.1
66.5,13.5,2.2,2710,-22.2,243.4
64.2,7.3,0.1,1950,-9,226.2
58.8,13.4,-7.7,3460,-6.1,204.1
60.6,17.2,-1.1,3360,22.4,207.2
31.9,10.5,-16.5,13081,-48.3,56.5
63.7,14.5,1.1,2640,1.5,233.5
64.6,13.5,-3.4,2100,-22.6,230.6
71,13.8,1.1,1773,3.4,277.2
60.1,10.1,-6.5,2490,-20.6,212.2
58.3,10.8,2,5433,10.1,167.6
64.5,11.1,0.7,2020,-22.8,235.5
55,11.4,-1.9,2960,-8.5,192.5
44.1,8.6,17,3580,48.6,118.2
61.8,10.5,-2.7,2440,4.3,220.9
71.7,10.9,2.8,2620,1.2,268.5
56.5,13.8,2.2,2454,10.7,203.8
72.7,11.7,5.8,2700,-8.3,262.2
59.7,19.1,1.5,4810,-8.8,180
50.2,3.2,-6.4,1530,-51.8,88.1
35.5,7,-5.8,3812,10.7,79.9
54.2,16.2,0.6,5750,-1.9,163
46.8,0.1,11.4,6918,1.6,105.3
72.5,11.6,0.4,2641,1.8,267.3
57,13,1.2,4160,-8.3,189.9
66,8,-0.1,1970,-3.2,226.4
63.8,13.1,6.1,2030,-13.2,241
68.4,14.5,1.5,3260,0.7,244.5
53.2,13.5,7.3,3150,17.2,181.8
65.8,13.3,1.4,2820,-19.2,239.9
58.7,17.9,0.9,3520,-1.3,199.2
9.3,52,-0.4,2280,0.7,10.3
39.2,15.8,4.1,6954,14.7,108.5
65.4,10.7,-2.5,3200,8,230
68.8,8.9,-3.4,4829,1.8,222.5
59.5,13.6,6.3,3890,16.7,200
66.7,13.2,1.5,2610,1.2,250.1
70,12,-4.8,2800,-12.5,257
58.2,15,-4.9,5401,10.7,188.3
52.8,7.4,-8.9,2196,-69.3,131.4
66.9,12.6,2.6,2380,-9.4,252.1
60.2,14.1,-2.8,3680,-9.6,207.8
62.2,8.4,2.5,2740,0.2,222.2
57,19.1,0.6,4100,11.5,187.8
71.4,13.3,3,3096,15.9,250.4
65,7.6,0.3,4657,-9.7,211
60,20.2,6.2,4076,4.2,195.9
66.8,11.1,-6.6,2470,-22.9,241.2
65.6,8.2,0.4,2040,-22.5,231.3
64,5.9,-13.2,3260,-30.9,205.5
55.8,17.2,-0.8,4360,5,182.6
65.6,11.9,0.1,2400,-1.1,247
76.2,12.4,5.3,3070,12.1,275.8
64.8,14.4,3.7,3048,8.3,227.6
71.3,14.8,-1.9,3290,-8,250.8
39.9,36.8,17.3,8400,16.5,96.3
38.9,21.9,1.8,5540,13,109.9
71.2,17.6,3.7,3820,7.5,236.8
45.2,21.8,-0.3,4110,-3.1,144.1
62.2,14.3,-0.1,5208,14.6,195.3
59.5,13.5,-4.8,3688,-0.1,204.1
53,13.1,-7.2,4339,-26.2,161.6
51,20.2,-0.6,4240,12.1,165.1
75.4,14.4,-1.3,3260,-8.4,261.9
59.9,12.4,-2.2,1910,-48.9,187
44.5,17.3,0.2,5135,-10.8,135.7
61.8,15.7,-1.4,3230,-20.8,210.8
53.8,15.6,-2,3540,0.2,179.1
60.4,15.8,-2.6,3530,2.2,210.6
63.6,11.2,0.8,3040,-5.4,229.5
53.9,20.6,-1,6047,-3.7,158.2
66.5,12.5,3.7,5270,-1.8,204.5
49.7,11.6,-7.9,3600,-59.5,134.7
60.6,18.9,-2,4960,8,185.3
16.8,15.8,-2,2400,-12.3,32
56,18.7,1.3,4130,2.2,183.8
67.3,8.2,2.5,3803,5.5,224.4
66.5,11.6,-1.6,2100,-2.4,250.2
74.2,10.5,1.7,2180,2.5,283.1
60.5,14.5,-1.8,4796,7.2,194.1
50.6,10.1,8.5,4120,10.2,163.1
63.8,13,3.4,5500,25.5,196.2
54.9,20.8,-4.1,6455,-8.9,159.4
61.2,4.5,-6.3,2190,-9.7,196.7
62.4,15.5,-2.6,2953,-9.8,225.7
44.1,20.6,0.3,7196,-4.9,125.9
58.4,9.1,5.3,1640,15.8,197.9
63.3,5.7,0.9,1240,-22.4,199.1
57.3,7.4,-7.9,770,0.1,179.2
47.4,23.8,-0.9,7090,-2.8,131.6
62.5,4.8,-3.8,1640,-26.2,189.1
48.8,15.8,-3.5,3230,4,166.5
48.4,17.4,3.5,4960,8.1,148.9
45.8,27.5,6,7510,-2,124.3
70.3,6.6,4.2,1490,-33.1,230.3
56.7,18.9,-1.8,3271,17.6,197.7
62.3,18.2,0.6,4656,11.4,195.9
54.8,16.6,-2.3,2821,6.6,188.7
62.9,12.7,-1.3,3992,7,210.2
58.9,10.6,7.2,2890,-2.4,204.9
65.5,11.2,3.1,2530,-17.9,240.3
46,16,0.8,2610,-1.2,156.7
65,10.3,0.5,2420,-19.3,236.2
56.2,18.2,2.3,3500,1.3,192.9
13.8,18.1,1.1,1167,-7.1,25.2
64.5,8.7,-0.2,1490,-35.8,217.4
65.2,13.1,-3.5,2200,-14,243.8
72.4,13.3,0.4,2150,-9.2,274.3
72.6,6.2,-3.9,3010,-32.2,242.7
46.1,5.1,-1.9,2560,-39.3,116.3
66.8,7.9,-2.2,1670,-17,237.5
37.6,13.7,9.3,8176,27.2,95.9
65,11.4,0.8,4700,3.1,211.3
42.1,32.7,-4.1,7760,-12.5,107.9
55.1,16.6,-2,4160,-0.5,182.8
66.3,12.9,2.2,2418,-36.3,225.1
70.8,10.8,1.3,2350,10.8,266.5
51.9,33.4,-0.8,9230,2.6,122
67,10.6,-1,2658,-35.5,232.2
64.7,7.5,-8.2,2580,-25.3,221.4
67.1,16.7,-0.7,2790,0.3,246.7
22.6,1.9,3.7,2000,-18,28.7
64.3,14.5,2.8,2750,5.2,236.9
28.1,6,-3.5,150,-36.4,57
48.8,17.6,1.5,3760,-6.9,162.2
62.2,9.3,-0.2,1910,-17.8,221.4
45.5,11.1,-0.1,2046,-4.1,137.6
66.2,12.3,1.5,2700,-8,236.4
61.4,9,-2,2220,-15.5,217.8
65.7,12.2,0.2,4170,-1,217.1
59.8,17,2.7,2810,13.5,214
44.4,17.7,3.3,2770,3.8,149
59.3,13.6,-9.5,3920,12.9,200.9
61.9,17.5,2.8,3430,13.2,211.4
66.6,10.4,1.2,2694,-9,244.9
58.3,9,0.3,3400,-4.9,195.8
43.2,17.9,0.4,5079,-5.4,116.1
29.9,27.2,-0.2,3590,0.8,83.9
46.2,13.1,-6.2,3080,-9,153.4
72.9,15.4,4.5,3300,-4.9,252.7
55.5,20.3,12.5,4820,7.8,173.7
57.7,6.3,2.9,2040,-11,188.4
64.5,14.9,6.1,3310,6.6,229.7
71.5,8.1,4.1,4574,22.1,225
57.1,8.4,6.3,4947,31.9,156.6
18.2,41.8,-1.7,3203,2.2,36.3
30.5,15.9,1.4,4810,5.8,79.9
63.3,11.4,1.4,2460,-2.4,232.4
32.7,17.2,0,3530,4.6,94.3
66.9,8.5,2.5,1990,-11.7,238.5
44,15.9,-1,3381,-4.1,144.3
50.1,4.7,2.2,2470,-32.1,134.3
54.3,15.5,12,3650,24,180.9
60.9,6.6,-6.1,1580,-22.6,197.4
46.8,21.4,2.6,4980,-5.3,144
21.4,13.3,-1.1,7299,-10,37.6
10.6,33.8,-0.9,3470,-1.1,14.6
34.4,12.5,13.5,4090,40.9,89.4
36.4,17.5,-0.5,6459,8.4,100.2
66.5,9.8,0.3,1790,-31.5,235.5
73.7,15.3,-0.1,3761,-9.5,244.3
56.3,10.4,-0.5,2390,-8.3,199.1
32.4,28.2,-18.2,6490,-26.1,84.4
65.5,12.6,1.2,2193,-16.2,246
59.5,7.1,-3.4,2000,-18.2,198.4
57.5,15.7,0.3,2867,5.4,207.2
65.9,8.5,-2.3,3041,1.3,234.5
44.3,22.7,9.1,7079,7.7,125.5
63.9,13.4,1.2,3198,-7.7,221.8
49.8,19.9,0.1,11768,6,130.5
50.2,16.9,-9.2,4963,-12.7,152.4
56.7,16.1,3.9,4096,2.6,189.2
51.4,4.6,-9.3,2850,-72.8,113.7
66.6,11.9,1.5,2290,-2,251.8
64.2,15,3.5,2078,-14.3,244.6
59.1,13.1,6.8,2610,-0.9,216.7
60.9,10.4,-4.5,2810,-16.1,216.8
56.7,10.4,-0.3,4838,1.4,182.8
50.6,26.8,-3.8,4992,5.5,149.5
21,3.7,8.8,1280,72.5,30.9
74.9,17,-1.4,3180,-14.4,261.6
66.1,11.4,4.9,2390,-14.1,238.8
29.3,18.5,5.2,5220,9.9,75.5
38,7.7,1.9,9962,34.2,83.1
52.7,13.8,-0.3,1450,0.6,188.5
49.4,21.3,2.6,7447,3,139.1
37.1,27.1,-3.5,8667,14.2,82
50.2,15,-2.2,3902,5.1,165.2
63,12.2,-2.5,2840,7,226.3
45,17,3.2,2880,4.4,150.6
39.3,19.3,1.7,4380,2.7,119.6
63.4,14.5,-4.2,4490,16.4,203.5
65.8,9.8,5.8,2010,-17.6,240.8
58.3,19.2,0.4,4043,13.1,190.7
12.7,19.3,1.1,2250,1.5,20.2
58.9,13.3,2,3590,3.5,204.1
66.6,12.5,2.1,2417,-9,240.7
60,13.3,-12.1,2820,-52.3,179.3
45.6,14.4,10.8,3747,29,139.1
54.7,11,2.9,1897,4.9,193.1
65.6,15.6,2,3410,-3.3,222.3
52.6,20.3,2.3,3430,12.9,179.3
65.3,13.3,1.2,2230,-9.9,236.9
65.6,12.1,4.1,3020,5,230.7
66.8,11.9,3,2570,24.6,233.3
40.5,19.2,1,4360,11.5,123.4
63.6,11.8,-0.6,2193,-4,236.1
74.2,12.8,-0.9,2479,7,276.2
46.8,13.1,0.1,4371,13.2,147.6
44.5,23.5,1.5,5490,-4.1,132
56.7,9.7,-1.5,3330,-2.4,195.8
42.1,21.4,-1.7,5660,-8.7,110.8
46.8,8.3,-1,2806,-2.9,139.8
56.8,11.7,-3.5,2840,8.1,200.3
65.2,11.7,-1.7,3570,2.2,227.7
63.6,4.8,-2.9,1700,-30.9,191.3
71.8,11.2,-0.9,2820,5.8,261.4
19.1,15.6,4.2,2680,4.4,39
66.1,9.5,-0.3,2544,-3.6,240.9
59.4,17.7,4.9,3293,2.9,208.3
50.6,12.4,-8.6,2350,-23.3,169.9
66,11.4,2.2,3753,25.2,216.2
65.1,5.4,1.3,1050,-8.6,208.8
59.5,14.2,-3.8,5600,-2.8,182.6
61.7,10.5,4.4,2460,15.4,222.8
62.9,6.6,-9.2,3188,-4.7,208.9
36.1,17.2,-7.2,5830,-31.3,95.5
63.5,18.8,-0.2,4190,-2.3,202.5
65.1,15,2.6,3500,17,222.7
64.2,11.7,10.2,1874,12.4,240.8
52.9,3.7,2.2,2060,-5.1,145.5
65,12.2,0.6,2630,-21.4,236.5
65.6,4.6,1.7,1490,-4.1,210.8
58,18.9,4.7,2958,1,207.6
72.5,14.7,-2.8,2010,-12.2,276.3
54.1,10.5,8.1,4693,10.8,172
62.3,16.5,5.4,3630,-7.4,206.9
57.4,15.4,-3.6,3130,-2.8,204.6
54.4,13.2,-5.7,4878,-3.1,173
57.5,10.9,0.8,3163,9.5,193.2
42.9,22.4,1.6,5330,-4.9,128.1
65.1,13.5,2.7,2560,-16.4,241.5
59.8,14.8,5.7,4056,2.6,201.5
33.3,11.4,-1.4,3430,-23.2,89
44.9,15.8,2,4278,21.7,136.4
59.2,18.4,3.3,3960,0.6,197.5
72.3,9.5,1.2,3270,7.2,258.1
64.6,15.3,4.9,3530,-5.9,217.2
53.8,5,-3.1,2705,-13.5,166.3
70.3,13.9,-0.7,2892,2.9,254
48.4,3.9,-20.2,2550,-64.5,99.5
31.8,29.8,8.3,4910,9.6,86.1
57.6,14.9,1.4,3551,16.3,198.2
36.1,26.1,2.9,5040,5,103.2
51.7,6.4,2.2,1130,-28.3,130.6
52.6,10.5,-3.9,2971,13.1,176.8
75.4,11.1,4.2,2790,4.8,271.5
55.5,16.9,-3.6,4407,-1,179.7
58.4,15.3,-0.1,2524,0.1,215.1
66.9,16.1,-4.9,1936,0.5,258.4
65.8,12.8,1.5,2793,7.5,234.4
71.1,11.3,3.7,2090,7.3,271.5
64.3,15,-3.9,3947,2,214.1
54.2,11.8,4.2,1719,2.1,190.5
50.8,11.7,-3.6,5947,23,154
40.3,26.2,17.5,7740,23.8,108.6
67.1,12.9,2,2210,-11.6,244.2
10.5,14.6,-6.6,1400,-24.7,13.5
50.5,10.4,-8.1,5709,19.7,153.9
58,13.9,6.1,4160,8.2,193.4
59.8,21.4,7.6,5130,2.8,180.9
59.3,15.9,-1.5,4680,-1.2,191.8
63.8,0.2,4,1720,-62.9,114.3
58.3,13.4,-0.1,5412,15.4,183.6
60.7,7.7,0.2,2310,-7.5,212.7
67.3,10.9,8.3,2400,-1.1,245.2
61.9,1.2,-0.8,1140,35,106.4
75.9,13,1.9,2500,-16.4,284
68.2,1.4,-4.7,1980,-57,120.8
52.8,19.7,0.6,7130,3.2,146.4
56.6,11.9,-6.6,3480,-7,195.7
59.1,5,-2.9,1710,-13.2,181.8
70.7,14.9,4.8,2694,4.8,263.8
56.7,16.8,5,4720,19.5,181
41.6,29.3,3.3,7100,-2.5,112.3
49.8,12.7,-0.9,2780,11.1,171.2
57,9.1,-6.8,4337,-6.7,185.8
64.2,12.3,-3.7,3070,5.5,231.4
67.4,3,1.1,1140,-21.8,183.1
59.5,17.7,0.3,4310,7.2,191.4
58.3,15.1,4.6,2798,-6.7,211.9
43.6,15.1,3.1,2890,3.1,142.3
35.6,0.9,-7.6,2220,-85.3,49.1
48,31,-13.1,9850,-8.4,117.7
50.6,19.3,2.9,2982,5.7,176.1
65.1,15.3,-0.6,3958,-9.2,214.4
64.4,15.3,3.2,3480,-0.4,217.7
60.4,11.6,-3.1,1583,-4.8,220.9
67.5,13.7,-2.4,3570,1.8,235.4
27.4,27.1,-2.8,4584,5.7,71.2
64.7,15.4,1,3250,-20.6,228.7
28.3,17.6,-18.7,8140,-46.5,61.1
53.8,19.9,-3.5,4800,3.9,169.2
44.6,14.3,5.4,4400,13.2,138.3
59.3,16.7,4.4,4106,4.1,197.5
66.1,9.1,3.6,1930,-18.2,239.1
68.3,13.7,-6.5,2320,-17.5,256.2
52.9,19.3,0.3,4390,6.8,170.8
64.1,14,8.2,3380,6.7,219.1
62.7,13,2,3010,-6.1,227.4
59.2,14.1,-1.2,4040,-1.9,196.6
38.2,19.5,0,3280,4.2,120.9
68.1,10.7,2.6,2010,-12.1,256.3
21.4,33.8,-5.9,2350,-9.3,52.7
65.4,15.7,-0.6,5879,8.1,195.3
66.9,14.8,0.4,2820,1.3,246.2
34.8,22.4,1.1,5375,8.2,97.5
64.2,9.5,0.1,3850,13.9,211.6
45.1,19.8,1.1,5740,-3.3,133.6
63,13.4,-0.4,5410,0.6,194.8
47.3,16,1.7,3350,14.1,158.3
63.9,8.3,-3.6,1830,-35.7,213.2
66.6,11,1.5,2910,-11.1,240.6
62.9,0.1,-0.6,1220,-31.5,63.8
71.6,16.1,-0.1,2960,-4.5,250.5
66.1,10.4,-1.5,5311,-7.9,203.6
23.7,19.5,2.2,2980,-1.7,58.3
49.1,13.1,-2.2,3592,20.3,160.7
64.5,6.7,-6.9,1580,-9.4,221.3
53.3,0.9,3.6,1890,-82.6,71.1
51.2,11.4,0.3,3706,2.8,164.9
55.2,23.5,-5.5,6900,-9.5,152.7
60.2,6.7,0.2,2770,-8.8,203.5
73.5,15.3,-2.8,3411,-17.8,253.8
66.3,7.2,-1.4,3040,15.1,223.4
65,12.4,1.1,3039,-10.5,227.2
63.5,8.7,1.1,1870,-2.9,229.2
55.5,0.2,-8.2,1920,-8.7,64.5
58.3,14.3,-3.2,3070,7.5,208.5
39.4,11.3,-10.4,3830,-49.6,104.6
63.1,14.8,3.7,2860,4.8,227.6
23.6,13.2,-7.6,2310,-30.2,53.5
59.2,13.6,1,7462,21.9,170.6
73.8,16.2,0.4,3230,-10.9,258.2
59.5,11.6,-3.2,3290,7.8,207.9
67.3,10.8,3.1,2090,-8.7,253.3
67,10.2,0.2,2160,3.7,248.2
52.8,7.8,0.5,3676,8.4,170.6
68.9,12.1,3.6,2990,2.1,251.2
64,9.4,2.5,3810,24.8,206.6
67.6,12.4,4.2,3020,-1.5,247.3
58.5,12.5,3.6,7330,26.5,168.3
55.5,21.4,6.1,4980,21.1,171
67.2,9.9,1.2,1740,-14.6,249.2
66,11.7,0.6,2010,1,248.2
66.4,10,5.1,2180,-13.6,239.3
55.6,15.6,-1.7,5780,-11.1,168.5
57.1,12,4,2940,15.8,201.2
49.6,28.9,-4.8,8510,5.1,128
52.6,16.3,-12.1,3620,-7.5,178.6
62.9,15.5,3.7,5160,7.1,193
51.3,16,3.8,2350,9.2,175.4
45.9,29.1,-17,8920,0.8,116.5
26.1,28.6,-7.7,6150,-8.1,62
75.4,16.1,-0.3,3570,-9,254.5
64.4,10.8,4.5,2100,-5.9,239.6
33.1,20.4,-2.9,3530,-7.3,95.6
12.1,30.1,-2.5,3400,0.6,18.6
30.2,19.6,6,3230,7.5,85.4
65,13.8,3.1,2800,-15.3,238.3
69.4,6.6,5.5,1320,-14.8,241.8
31,11.1,-20.7,3890,-42,73.1
39.5,18.6,-15.9,5610,-29,112.2
70,8.9,-3.4,2750,10.5,251.8
58.5,5.4,-1.6,1700,5.3,182.9
50.8,10.3,-1.4,2920,-5.1,172.2
72.2,12.6,0.9,1460,-9.2,269.6
74.8,13.1,-0.1,2470,-4,279
57.1,17.3,5.9,3662,15.9,193.9
56.6,8.4,8.2,2740,-2.5,192.3
66.3,9.4,0.1,2220,-7.9,233.2
65,7.4,-6.1,3315,1.3,224.5
73.9,13.7,-2.2,2660,-6.6,271.6
64.3,13.5,2.7,5515,-15.3,198.9
8.7,49.7,0.7,2690,2.8,9.2
42.3,20.8,-4.5,5841,-3.3,124.3
49.3,5.7,0.5,2330,-8,145.8
62.1,13.8,3.3,3770,26.3,209.5
36.1,35.6,-5,7070,-4.2,90.1
59.7,6.3,-0.5,2450,-14.3,200.3
26.4,9.3,1.6,6961,16,50.6
58.7,18.8,9,4540,12.4,184.5
61.1,5.6,-1.7,2561,-28.4,195.3
40.5,19.5,-2.8,3472,-4.3,129.4
74.6,5.6,-0.3,2670,-0.3,266.3
64.5,15.6,4.2,4180,13.2,208.8
32.6,13.7,-19.4,4620,41.7,80.7
60.4,12.8,-2.4,1688,-0.9,224.2
64.9,13.9,2.4,2389,-24,240.1
68.8,11.9,-1.6,1870,-20.7,247.5
71.5,13.1,0,2630,1.9,264.3
53.7,7.7,-1.6,2730,-12.5,178.3
59.7,13.5,-1.4,3139,-3.8,205.2
54.2,4.7,-3.8,2490,-37.1,149.7
10.8,29.9,-3,3300,2.5,15.2
61.3,15.7,3,3040,-1.2,220.5
66.1,10.3,-3.1,2270,-33.6,231.7
66.9,11.2,2.1,2330,-1.6,251.9
40.1,19.2,7.6,6743,18.8,111
44.7,18.8,-4.4,6581,-6.9,115.8
59,13.8,-2.1,2180,-11.4,209
62.1,9.4,7.4,3951,7.3,210.8
64.8,5.3,-5,1818,-18.1,211.7
57.9,27.3,-2.2,7780,-14.1,149.9
18.1,26.5,0.5,4760,3.5,36.3
55.1,14.6,-4.2,3240,-3.5,193.6
58.9,13.6,-0.8,6998,23,161.8
51.8,12.8,-3.6,3884,-5.6,172.1
39.3,24.8,-2.7,4820,-2.2,116.5
58.6,6.2,0.6,1930,-42.4,172.5
65.3,12.1,4.2,2450,28.4,225.8
66.6,17.9,-1.7,4281,-1.6,214.7
53.6,24.3,-1.6,5320,5.2,155.6
40.9,25.8,2.6,5260,4.8,119.2
42.2,28.1,5.6,8310,-1.4,110.1
62.1,14.2,-3.2,6203,10.9,186.8
62.5,13.6,-2.2,2790,-2.4,228.8
66.8,7.7,-0.1,3411,-6.5,226.2
65.2,10.4,0.4,2240,-27.7,233
51.2,9.2,-4.5,3247,8,164.3
62.5,14.9,-1.6,2493,-5,233
33.5,21.7,5.4,2014,2.7,106.3
22.1,19.7,12.6,4178,37.2,42.8
40.8,17.1,2.5,3823,22.8,118.6
70.4,14.8,3.4,2063,6.5,272.6
41.8,24.1,5.7,5760,5.4,121.5
60.7,15.7,-2.8,2680,-10.2,215.5
46.8,8.9,-13.5,3556,-7.7,136.4
52.5,15.2,-3.2,3180,-14.9,181.6
47.7,17.8,-6.7,4680,-14.7,149.8
39.2,11.7,1.7,2880,27.4,106.2
58,10.3,6.5,2910,9.3,204.8
57.2,12.9,-2.3,5030,-4.7,179.7
77.4,14,8.5,2780,2.9,285.4
45.5,16.7,2.4,2320,-2.1,156.6
62.6,9.9,-1.4,2480,-23.1,221.8
19.8,24,-11.2,3140,-22.1,44.4
59.2,10.7,-1.2,4130,0.9,195.4
67.7,13.1,1.4,2450,-3,256.3
62,8.9,0.2,1710,-18.3,218.3
60.6,12.3,-3.8,2843,-24.6,211.5
37.8,21.5,7.3,3921,2.2,115.6
26.4,47.3,-20.7,5730,-15.7,53.9
57.7,21.8,4.8,5940,6.8,168
26.3,24.8,-1.3,5550,-9.3,65
66.8,13.5,5.6,2716,-5.1,240
68.1,12.5,2.1,3711,-5,235.5
71.5,15,-0.5,5522,6.1,213.9
69.7,9.1,-1.4,2240,-25.1,248.7
61.4,18.9,0.3,3600,-7.5,204.3
16.2,15.1,1.4,2220,-3.7,29.8
66.8,12.4,0.5,3136,-1.7,233.9
67.5,13,0.5,1960,-10.1,256.8
50.3,11.4,-1.2,2660,-8.9,172.5
62.2,14.9,0.6,3360,-6.3,220.1
57.2,10.1,1.5,3300,3,198.9
66.3,11.1,1.1,4557,21,215.7
65.9,12.5,-1.9,2700,-36.2,229.9
70.9,11.5,-1,2790,4.1,261.5
46.8,20.7,3.2,7040,-11.4,132.3
71,10.6,-0.6,2640,4.3,263.5
48.3,16.2,-5.6,3080,3.7,165.8
54.7,19.1,6.7,3200,8.1,190.6
20.1,30.4,1.2,2380,0.3,48.3
59.7,10.6,3.2,3450,1.8,202.3
