BallSpeedMPS,VerticalLaunchAngleDeg,HorizontalLaunchAngleDeg,SpinRateRPM,SpinAxisDeg,TotalDistanceM
63.7,6.8,-1.7,1870,-32,207.3
47,11.7,6.1,3147,27.4,143.4
57.5,20.3,2.5,6731,3.9,163.1
39.1,21.9,-1.1,4780,12.2,116.1
65.8,12.5,0.4,2322,-10.1,247.5
13.4,27.1,-1.8,2850,-3.3,23.3
59.5,7.7,-2.5,1950,-18.5,201.3
64,13.7,-3.3,3230,7.2,229.1
31.7,12.5,9.1,3400,21.8,83.8
65.7,12.8,1,4251,7.5,215.2
56.6,16.7,4.3,4373,14.7,183.9
56.7,18.1,-2.3,3290,-9.7,197.5
40.1,0.6,-1.1,1400,-87.3,53.2
59.1,6.5,-4.7,2129,-9.1,194.5
57.7,11.1,2.6,2420,15.2,203.8
66.3,11.5,5.2,2590,7.9,246.3
50.5,10.7,-2,4052,7.1,161.1
63.8,11,-3.7,3888,3.2,217.7
54.2,15.3,10.9,6674,19.8,159.1
8.4,50.6,-1.4,1290,10.3,9.9
60.8,15.1,2.4,4160,8.7,203.1
63.1,8.4,-2.9,1550,-31.1,199.5
67.4,13.9,3.1,2177,-10.6,255.8
60.6,18.4,9.3,4020,8.8,201.3
48.8,11.7,-0.1,3725,5.4,156.1
77.5,11,1.4,2349,0.3,295.2
48.1,23.8,-5.7,6690,-13.7,137.3
59,9.7,-3.2,2590,-9.2,209.8
57.1,5.3,10.6,3170,17.6,181.5
65.4,11.9,-0.2,4038,7,218.2
36.7,19.1,-1.7,3980,-1.6,110.2
61.1,19.3,3,3552,-2,203.7
43.4,8.3,19,7512,53.6,99.8
56.6,12.7,-1.5,3750,-2.5,187.5
33.6,18.9,26,6080,32.2,87.9
62.9,16.5,-2.7,2799,2.5,227.9
35,17.8,-4.1,4310,2.8,101.5
39.8,22.9,-19,7590,-27,108.2
60.7,15,2.6,3640,-10.7,209.9
67.6,17.1,2.3,3060,-1.6,244
61,11.1,-5,2686,4,220.2
68.2,15.8,-3.4,4020,-0.6,226.8
45.4,16.6,2.6,2700,3.2,153.5
55.6,15.1,7.4,3790,19.7,185.7
49.4,17.3,8.9,4624,5.5,157.3
62.5,12.6,-0.2,2740,-20.7,225.7
57.1,15.2,-0.4,4145,2.1,190.7
63.8,15.8,4.5,3500,-4.9,222.9
73.6,12.4,-0.2,2474,7.3,274.1
13.4,10.8,20.7,1370,51.1,19
54.9,14.7,-0.9,6180,-4.8,164.6
58,17.2,4.7,7319,21.5,166.4
55.1,11.9,6.3,2660,18.1,191
59.3,14.8,0.4,4320,5,192.7
65.5,10.8,-1.4,2650,12.1,240.1
57.7,19.3,2.6,5020,-2.2,179.6
59,4.4,1,2200,-55.3,147.6
54.4,15.5,-1.7,3250,-2.4,189
56.1,3.3,3.2,1490,-2.5,145.7
66.3,9.7,-0.4,1900,-19.7,241.9
56.6,12.9,-4.4,3282,-5.1,198.6
61.7,16.6,-1.9,4513,7.9,199.8
74,10.3,0.3,3293,3.3,265.4
43.2,31.9,-0.1,8620,-4.1,109.4
60.8,13.4,-1.3,5740,1.6,185.9
67.4,13.9,2,2957,-2.2,245.9
62.2,15.3,5.4,3720,4.4,206.4
66.3,12.4,3.1,3328,13.6,228
70.9,12.2,3.2,3910,3.5,239.5
62.7,14.2,-3.5,3370,-16.7,220.8
69,11.4,-3.8,2070,-14.1,254
61,9.4,-0.3,2680,-1.7,218.8
34.1,21.8,-1,5658,10.1,93.4
60.4,13.3,-3.5,3070,-5.1,215.6
59.3,10.6,2.4,3500,0.8,199.9
73.5,16.3,-1.5,3080,-14.4,260.7
43.4,24.4,3.4,5250,1.7,128.2
63.2,15.5,-0.1,3810,-8.5,207.7
35.8,13.9,0.3,6380,12.8,95.5
55.6,15,-4.6,2240,-18.8,192.6
66.3,13.2,0.2,2530,-2.4,249.7
65.8,12.3,3.4,2620,8.3,243.2
58.5,7.9,0.1,2250,-14.8,197.4
65.8,8.4,0.3,2010,-21.9,233.5
70.2,6.6,-7.6,2540,-7.9,251.1
71.9,11,-0.5,3220,0.5,254.9
64.5,12.6,-1.6,2750,-22.7,233.5
45.9,29.5,-13.1,8500,-17,119.7
46.6,17.5,5.7,3710,7.1,153.5
39.5,37.9,-14.7,7930,-12.1,94.5
32.9,23.5,0.7,4910,7.7,92
56,19.9,-0.4,4940,6.2,174.5
49.5,24.7,3.8,6528,15.1,139.6
54,19.7,-1.7,3790,-3.6,179.9
56.7,5.7,0.5,2320,-6.8,182.3
63.1,13.1,2.4,2790,-17,229.3
67.2,10.2,3.4,4902,4.1,211.5
10.5,21.1,31.8,2070,41.4,14.3
11.6,30.8,-1.1,3331,1.1,17.2
54.9,5.9,-4.5,2490,-25.2,169.4
40.6,14.3,-4.8,2810,2.9,130.6
32.5,14.7,-4.2,11629,4,45.6
58.6,7.9,-2.1,2350,-4.2,203.7
67.4,14.4,-1.1,3060,-6.3,242.7
65.5,10.4,-1.2,2600,-6.8,239.5
66.6,9.9,3,3327,5.3,228.7
66.9,4.7,-2.9,2150,-50.9,186.4
74,19.4,3.9,2806,-1.4,264.4
75.4,10.1,1.9,2907,4.2,275.2
53.9,9.8,0.8,2410,14.1,182.4
53,16.3,3.2,3340,4.4,182.5
61,16.8,-1.4,3963,17.6,203.8
48.1,10.2,6.3,1324,-0.1,145.4
71.3,9.6,2.3,2050,-8.1,267.3
47.1,20.1,4.9,3800,3.9,154.3
69.9,15.2,-0.5,2500,1.2,263.1
57.4,12.9,0.5,4521,-0.7,172.2
43.7,17.3,8.2,3500,11.8,142.2
67.2,12.8,0.8,2390,-4.8,254.7
58.8,11.3,2,3000,-15.9,207.3
61.5,17.3,1.5,2872,5.7,220.8
67.8,12.3,-0.7,3515,6.4,237.9
23.4,11.5,19.3,2240,43.6,49.7
47.5,18.3,2.9,6570,-9.1,137.3
46.4,22.9,-1.2,8070,1,126.4
57.4,11.5,-4.5,3850,-6.3,195
62.7,9.7,-0.2,3175,7,221
63.8,8.2,0.9,2060,-19.9,221.1
49.1,6.8,0.9,2340,-31.8,141.5
57.8,10.4,6.8,6095,37.7,172.1
34.6,28.2,4,4720,8.6,97.9
69.8,11.8,3.1,2784,-0.8,257.7
41.9,20.9,0.5,6813,8.2,119.4
62.7,10.1,-8.1,1820,-31.9,205.8
59.9,12.1,-4.3,2270,-35.9,207.5
67.1,13.5,-0.5,2740,10.3,247.4
43.7,5.3,-1.8,2130,-7.8,116.2
52.2,11.9,5.4,2390,20.8,177.4
62.8,12.1,-1.4,2830,11.2,228.2
72.4,12.2,-1.6,3030,-8.9,261.7
63,10.4,-6.8,2909,-13,223.2
58.1,14.1,-1.6,4944,-3.8,185.2
62.8,12.7,4.4,2950,2.7,221.5
69,8.6,4.6,1860,-17.2,246.3
46.3,17.9,10.6,3870,17.5,149.7
60.4,11.2,-1.4,2012,-2,222.4
33.7,14.5,6.1,4817,34.2,80.7
64.4,12.6,1,2660,-26.6,231.7
62.9,10,-6.6,3170,5.3,220.2
69.8,10.3,5.1,4023,-2.3,237.7
63.8,10.3,0.8,2625,-24.7,226.4
58,19.7,6.3,6535,24.8,168.4
58,17.8,0.1,4447,3.3,183.1
56.4,17.9,-1.1,2960,-7.1,195.1
57.4,7,2.6,2130,-16.8,189.7
63.8,13.3,-3.5,2435,14.6,236
61.4,13.4,2.4,3110,-5.4,219.1
59.4,13.4,-3.2,3627,4.9,210.4
74.2,15.6,-2,3190,-20,260.5
64.4,5.3,-2.9,2620,-4.2,219.8
67.5,11.7,8,2690,4.8,243.3
50,15.4,8.1,3921,29.7,157.8
54,7.5,-2.7,2700,-5.4,180.7
52.8,5.6,-3.9,2610,-21.1,160.8
64.2,11.3,-3,2480,-25.4,230.8
67.1,10.9,2.6,2140,-11,252.2
45.4,22.1,-12.4,6970,-12.5,129.6
73.7,14.9,2,3220,2.5,257.4
62.3,1,-5.6,2040,-33.8,120.6
53.7,15.4,-0.6,3120,-11.1,188.3
65.2,1.4,-0.6,2120,-4.3,162.5
57.1,23.5,0,5222,-10.3,167.1
56.6,16.6,0,4070,1.4,188.9
52.9,12.1,2.4,1420,8.9,186.8
57.5,15.4,-2.7,2490,-6.7,212.2
56.3,14.3,-1.9,1762,10.6,198.2
60.3,12.8,0.8,6120,6.9,182.9
68.4,16.1,0.9,2640,1.4,254.6
55.5,16.3,2.5,6560,-3.8,163.4
66.8,9,-8.1,2690,-16.9,238.6
60.2,13.6,-2.7,3617,-7,202.2
45,16.7,3.4,7703,9.3,131
72,15.1,1.3,3170,-4.3,255.6
51.1,4.2,-14.6,3210,-72.8,103.8
65.2,12.6,0.3,2238,-25.6,239.6
61.3,11.8,2.3,2910,-12.3,220.7
53.6,8.2,2.5,2740,5.2,181
32.4,15.9,-5.1,4310,-2,89.2
60.3,12.8,0.1,2910,9.6,216
64.6,15.9,0.1,2610,-15,231.9
52.3,12.2,-4.4,4020,-22.8,169.6
65.6,13.3,1.5,2611,0.6,243.8
63,4.4,-4.7,1920,-22,194.2
67.5,15.1,0.4,2430,4.2,254.9
62.4,11.2,0.4,3110,5.5,222.3
66,13.3,1.3,3090,-4.4,238.3
31.3,11.8,-8.5,3070,-21.3,82.2
56,8.8,-7.4,4451,-11.6,179.8
71,14.5,0.3,2561,1.8,265.5
72,10.8,0.1,2473,6.3,271.2
65.1,11.5,0.6,2740,-3.4,231.1
67.5,10.7,-4.7,3335,0,240.1
56.1,18.5,1.4,4090,-10.1,185.3
64.5,10.5,0.7,2230,-34.9,224.8
63.7,10.9,0.6,2079,-11.1,233.9
67.8,5,2.7,1470,-6.6,225.4
59.1,9.7,0.8,4888,15.2,177.6
57.7,13.1,6.6,3874,29.4,177.7
61.2,16.8,-2.2,4763,-0.6,194.6
61.6,17.2,3.4,2980,10.2,221.9
53.3,4.6,-0.4,1690,-17.2,148.7
62.6,18,3.4,4730,18.6,198.1
55.7,7.3,0,2650,-7.8,184.9
45.8,17,-0.4,2950,-2.2,153.7
55.4,21.1,6.7,6030,17.9,163.3
70.3,17.8,-0.3,2406,-10.1,256.9
66.4,11.3,4.4,2150,0.1,251.1
63.1,10.8,2.4,1590,6.3,221.8
60.2,15.3,-3.8,3444,-8.8,210.9
