BallSpeedMPS,VerticalLaunchAngleDeg,HorizontalLaunchAngleDeg,SpinRateRPM,SpinAxisDeg,CarryDistanceM
62.8,14.5,4,3717,0.3,203.8
56.1,15.3,4.8,5493,13.2,164.1
54.2,11.9,1.3,1654,-7,152.2
52,7.2,1,2600,-24.6,120.8
57.5,8.2,-1.7,1940,-5.3,151.8
67.7,14.4,2.9,2810,4.9,233.3
58.9,9.3,-5.9,3050,-26.2,169.4
59.3,10.9,0,2940,20.6,181.2
46.6,18.6,1.3,4100,-6.6,136.6
64.2,13.6,4.9,2620,4.4,216.9
62.1,16.4,4,4855,11.1,189
19.7,33.5,2.3,4080,4,34.7
39.1,2.8,-6.9,1810,-70.4,17.8
56.9,15,2.1,2230,-1.2,185.4
60.3,16.4,-0.4,2975,-3.6,201.7
64.2,14.3,3.5,1965,-21.1,212.4
52.9,13,-6.8,3180,-24.4,152.3
58,3.8,-5.4,2070,-6.3,114.1
29.7,25.4,5.2,3880,2.9,68.4
53.7,17,2.5,3331,0.8,168.7
39.6,0.4,12.6,1700,30.6,3.9
13.9,16.7,2.7,2110,2.6,11.5
51.2,15.1,-5.6,3280,-23.1,152.1
66.6,9.8,1.1,3896,18.2,206.9
65.6,13.7,2.6,2830,4.3,223.4
37,20.7,-3.6,3560,4.8,97.1
49.7,11.6,1,3510,20.4,137.2
69,11.9,3.1,1370,-25.8,217.7
52.2,21.3,0.9,7360,-1.5,143.4
55.9,21.5,7.8,5140,6.1,158.3
43.6,20.8,2.5,4120,1.2,124.4
48.1,21.1,3.2,4961,1.2,139.4
58.4,16.2,-0.2,4818,11.8,176.8
59.1,16.5,3.3,4360,13.5,182.6
67.6,5.8,-4.1,2210,-0.1,195.9
48.2,8.8,-0.3,1989,2.5,109.6
49.6,18.3,2.9,3640,-2.1,151.3
57.4,10.2,3.5,3530,6.5,172.5
47.4,21.4,2.9,4040,1.9,140.9
70.7,10,-1.7,2838,-3.4,238.3
64.7,12.3,4.7,2550,-6.2,212.5
62.7,11,-0.5,4440,8.4,191.3
66.5,5.3,2.6,1400,-23.2,150.4
70.8,4.7,-8,2030,-9.4,195.9
63,7.3,3.3,2729,10.2,188.2
11.3,27.4,1.5,3070,-5.9,10.8
52.8,14.7,-9,4050,-18.4,157.1
57.8,17.3,3.5,4700,14.5,169.5
67.2,8.4,-1.6,1500,-19.2,191.4
68.3,6.4,-2.8,2565,-10.5,208.3
46.3,28.9,5.2,6110,0,125.4
63.4,11.2,0.9,2630,17.5,203.1
58.7,11,-3.4,4604,11,173.3
65.2,11.5,5.6,1780,-4.7,210.3
56.2,12.9,-3.1,5630,0.2,163.4
63.1,18.1,5.7,4980,18.6,187.8
77.1,13,5.7,2370,-2,274.7
55.5,25.7,1,7590,5.8,147.9
59.1,15.5,0.8,2970,6.6,194.9
59.6,11.2,2.6,2910,-4.4,189.4
60.6,11.7,-0.9,3250,-7,194.6
61.3,19.7,1.4,4290,-1.8,190.6
48.5,10.9,5.7,1264,2.1,111.8
62.8,11.2,1,2590,-15.4,201
37.3,10.7,-11.6,10942,31.9,70.6
51.9,12.3,0.8,2280,-20.1,145.6
48.9,9.3,-2.3,2363,7.8,110.3
42.5,28.4,-1.1,6000,0.9,114.1
61,17.1,2.2,4424,14.6,185.6
31.1,19.7,-4.7,2226,-13,68.4
67.6,12.6,0.5,2935,-2.8,229.3
66.5,13.5,2.2,2710,-22.2,220.8
64.2,7.3,0.1,1950,-9,181.2
58.8,13.4,-7.7,3460,-6.1,188.1
60.6,17.2,-1.1,3360,22.4,192.7
31.9,10.5,-16.5,13081,-48.3,44.9
63.7,14.5,1.1,2640,1.5,214.2
64.6,13.5,-3.4,2100,-22.6,211.5
71,13.8,1.1,1773,3.4,249.1
60.1,10.1,-6.5,2490,-20.6,178.8
58.3,10.8,2,5433,10.1,158.8
64.5,11.1,0.7,2020,-22.8,199.7
55,11.4,-1.9,2960,-8.5,166.5
44.1,8.6,17,3580,48.6,78.9
61.8,10.5,-2.7,2440,4.3,194
71.7,10.9,2.8,2620,1.2,245.8
56.5,13.8,2.2,2454,10.7,179.1
72.7,11.7,5.8,2700,-8.3,250.4
59.7,19.1,1.5,4810,-8.8,173.8
50.2,3.2,-6.4,1530,-51.8,19.6
35.5,7,-5.8,3812,10.7,54.9
54.2,16.2,0.6,5750,-1.9,155.2
46.8,0.1,11.4,6918,1.6,70.4
72.5,11.6,0.4,2641,1.8,247.4
57,13,1.2,4160,-8.3,175.1
66,8,-0.1,1970,-3.2,197.5
63.8,13.1,6.1,2030,-13.2,210.5
68.4,14.5,1.5,3260,0.7,230.8
53.2,13.5,7.3,3150,17.2,160.8
65.8,13.3,1.4,2820,-19.2,218.3
58.7,17.9,0.9,3520,-1.3,187.1
9.3,52,-0.4,2280,0.7,8.2
39.2,15.8,4.1,6954,14.7,95.3
65.4,10.7,-2.5,3200,8,211.5
68.8,8.9,-3.4,4829,1.8,212.2
59.5,13.6,6.3,3890,16.7,185.8
66.7,13.2,1.5,2610,1.2,228.5
70,12,-4.8,2800,-12.5,237.7
58.2,15,-4.9,5401,10.7,172.9
52.8,7.4,-8.9,2196,-69.3,75.9
66.9,12.6,2.6,2380,-9.4,226.5
60.2,14.1,-2.8,3680,-9.6,192.5
62.2,8.4,2.5,2740,0.2,192
57,19.1,0.6,4100,11.5,177.4
71.4,13.3,3,3096,15.9,241.5
65,7.6,0.3,4657,-9.7,197.5
60,20.2,6.2,4076,4.2,187.6
66.8,11.1,-6.6,2470,-22.9,214.5
65.6,8.2,0.4,2040,-22.5,188.6
64,5.9,-13.2,3260,-30.9,172.7
55.8,17.2,-0.8,4360,5,171.5
65.6,11.9,0.1,2400,-1.1,220.3
76.2,12.4,5.3,3070,12.1,260.6
64.8,14.4,3.7,3048,8.3,218.1
71.3,14.8,-1.9,3290,-8,238.7
39.9,36.8,17.3,8400,16.5,96.6
38.9,21.9,1.8,5540,13,100.1
71.2,17.6,3.7,3820,7.5,230.2
45.2,21.8,-0.3,4110,-3.1,132
62.2,14.3,-0.1,5208,14.6,186.2
59.5,13.5,-4.8,3688,-0.1,189.8
53,13.1,-7.2,4339,-26.2,151
51,20.2,-0.6,4240,12.1,153.7
75.4,14.4,-1.3,3260,-8.4,251.1
59.9,12.4,-2.2,1910,-48.9,156.3
44.5,17.3,0.2,5135,-10.8,122.7
61.8,15.7,-1.4,3230,-20.8,201.2
53.8,15.6,-2,3540,0.2,164.5
60.4,15.8,-2.6,3530,2.2,196.6
63.6,11.2,0.8,3040,-5.4,208
53.9,20.6,-1,6047,-3.7,153.1
66.5,12.5,3.7,5270,-1.8,201
49.7,11.6,-7.9,3600,-59.5,101.3
60.6,18.9,-2,4960,8,179.2
16.8,15.8,-2,2400,-12.3,16.6
56,18.7,1.3,4130,2.2,174
67.3,8.2,2.5,3803,5.5,214.4
66.5,11.6,-1.6,2100,-2.4,221.6
74.2,10.5,1.7,2180,2.5,255.3
60.5,14.5,-1.8,4796,7.2,184.9
50.6,10.1,8.5,4120,10.2,141.2
63.8,13,3.4,5500,25.5,185.9
54.9,20.8,-4.1,6455,-8.9,155.5
61.2,4.5,-6.3,2190,-9.7,143.9
62.4,15.5,-2.6,2953,-9.8,209.3
44.1,20.6,0.3,7196,-4.9,119.1
58.4,9.1,5.3,1640,15.8,153.9
63.3,5.7,0.9,1240,-22.4,135.5
57.3,7.4,-7.9,770,0.1,122
47.4,23.8,-0.9,7090,-2.8,127.8
62.5,4.8,-3.8,1640,-26.2,126.2
48.8,15.8,-3.5,3230,4,146.7
48.4,17.4,3.5,4960,8.1,138.1
45.8,27.5,6,7510,-2,121.9
70.3,6.6,4.2,1490,-33.1,177.7
56.7,18.9,-1.8,3271,17.6,182.8
62.3,18.2,0.6,4656,11.4,188.8
54.8,16.6,-2.3,2821,6.6,177.3
62.9,12.7,-1.3,3992,7,197.2
58.9,10.6,7.2,2890,-2.4,181.9
65.5,11.2,3.1,2530,-17.9,212.8
46,16,0.8,2610,-1.2,133.3
65,10.3,0.5,2420,-19.3,205
56.2,18.2,2.3,3500,1.3,180.3
13.8,18.1,1.1,1167,-7.1,12
64.5,8.7,-0.2,1490,-35.8,164
65.2,13.1,-3.5,2200,-14,217.7
72.4,13.3,0.4,2150,-9.2,251.5
72.6,6.2,-3.9,3010,-32.2,210.7
46.1,5.1,-1.9,2560,-39.3,66.5
66.8,7.9,-2.2,1670,-17,189.6
37.6,13.7,9.3,8176,27.2,81.5
65,11.4,0.8,4700,3.1,201.2
42.1,32.7,-4.1,7760,-12.5,106.8
55.1,16.6,-2,4160,-0.5,170.4
66.3,12.9,2.2,2418,-36.3,205.6
70.8,10.8,1.3,2350,10.8,239.2
51.9,33.4,-0.8,9230,2.6,125.9
67,10.6,-1,2658,-35.5,201
64.7,7.5,-8.2,2580,-25.3,184.9
67.1,16.7,-0.7,2790,0.3,232.5
22.6,1.9,3.7,2000,-18,4.7
64.3,14.5,2.8,2750,5.2,218.7
28.1,6,-3.5,150,-36.4,15.1
48.8,17.6,1.5,3760,-6.9,146.7
62.2,9.3,-0.2,1910,-17.8,179.6
45.5,11.1,-0.1,2046,-4.1,109.5
66.2,12.3,1.5,2700,-8,223
61.4,9,-2,2220,-15.5,179.7
65.7,12.2,0.2,4170,-1,205.7
59.8,17,2.7,2810,13.5,196.8
44.4,17.7,3.3,2770,3.8,128.1
59.3,13.6,-9.5,3920,12.9,186.1
61.9,17.5,2.8,3430,13.2,199.2
66.6,10.4,1.2,2694,-9,219.5
58.3,9,0.3,3400,-4.9,174.5
43.2,17.9,0.4,5079,-5.4,109.1
29.9,27.2,-0.2,3590,0.8,70.6
46.2,13.1,-6.2,3080,-9,127.3
72.9,15.4,4.5,3300,-4.9,242.3
55.5,20.3,12.5,4820,7.8,166
57.7,6.3,2.9,2040,-11,137.9
64.5,14.9,6.1,3310,6.6,214.8
71.5,8.1,4.1,4574,22.1,217.6
57.1,8.4,6.3,4947,31.9,133.6
18.2,41.8,-1.7,3203,2.2,30.1
30.5,15.9,1.4,4810,5.8,60.5
63.3,11.4,1.4,2460,-2.4,206.9
32.7,17.2,0,3530,4.6,72.8
66.9,8.5,2.5,1990,-11.7,202.7
44,15.9,-1,3381,-4.1,123.5
50.1,4.7,2.2,2470,-32.1,83.5
54.3,15.5,12,3650,24,164.7
60.9,6.6,-6.1,1580,-22.6,140.6
46.8,21.4,2.6,4980,-5.3,134.6
21.4,13.3,-1.1,7299,-10,24.7
10.6,33.8,-0.9,3470,-1.1,10.6
34.4,12.5,13.5,4090,40.9,61.6
36.4,17.5,-0.5,6459,8.4,86.9
66.5,9.8,0.3,1790,-31.5,191.7
73.7,15.3,-0.1,3761,-9.5,236.1
56.3,10.4,-0.5,2390,-8.3,165.3
32.4,28.2,-18.2,6490,-26.1,76.6
65.5,12.6,1.2,2193,-16.2,216.9
59.5,7.1,-3.4,2000,-18.2,149.9
57.5,15.7,0.3,2867,5.4,188.7
65.9,8.5,-2.3,3041,1.3,211.9
44.3,22.7,9.1,7079,7.7,119.7
63.9,13.4,1.2,3198,-7.7,211.9
49.8,19.9,0.1,11768,6,131.1
50.2,16.9,-9.2,4963,-12.7,141.9
56.7,16.1,3.9,4096,2.6,176.7
51.4,4.6,-9.3,2850,-72.8,49.3
66.6,11.9,1.5,2290,-2,224.1
64.2,15,3.5,2078,-14.3,218.1
59.1,13.1,6.8,2610,-0.9,192.2
60.9,10.4,-4.5,2810,-16.1,189.2
56.7,10.4,-0.3,4838,1.4,168.2
50.6,26.8,-3.8,4992,5.5,144.3
21,3.7,8.8,1280,72.5,6.3
74.9,17,-1.4,3180,-14.4,251.7
66.1,11.4,4.9,2390,-14.1,214
29.3,18.5,5.2,5220,9.9,59.3
38,7.7,1.9,9962,34.2,63.1
52.7,13.8,-0.3,1450,0.6,152
49.4,21.3,2.6,7447,3,135.1
37.1,27.1,-3.5,8667,14.2,81.9
50.2,15,-2.2,3902,5.1,149.9
63,12.2,-2.5,2840,7,205.7
45,17,3.2,2880,4.4,129.9
39.3,19.3,1.7,4380,2.7,104.2
63.4,14.5,-4.2,4490,16.4,193.3
65.8,9.8,5.8,2010,-17.6,203.2
58.3,19.2,0.4,4043,13.1,180.9
12.7,19.3,1.1,2250,1.5,10.8
58.9,13.3,2,3590,3.5,187.6
66.6,12.5,2.1,2417,-9,225.3
60,13.3,-12.1,2820,-52.3,157.6
45.6,14.4,10.8,3747,29,122.4
54.7,11,2.9,1897,4.9,153.9
65.6,15.6,2,3410,-3.3,210.8
52.6,20.3,2.3,3430,12.9,165.5
65.3,13.3,1.2,2230,-9.9,220.4
65.6,12.1,4.1,3020,5,219.2
66.8,11.9,3,2570,24.6,216.3
40.5,19.2,1,4360,11.5,108.8
63.6,11.8,-0.6,2193,-4,208.2
74.2,12.8,-0.9,2479,7,257.2
46.8,13.1,0.1,4371,13.2,128.8
44.5,23.5,1.5,5490,-4.1,124
56.7,9.7,-1.5,3330,-2.4,171.7
42.1,21.4,-1.7,5660,-8.7,105
46.8,8.3,-1,2806,-2.9,103.8
56.8,11.7,-3.5,2840,8.1,176.5
65.2,11.7,-1.7,3570,2.2,212.6
63.6,4.8,-2.9,1700,-30.9,127.6
71.8,11.2,-0.9,2820,5.8,242.4
19.1,15.6,4.2,2680,4.4,21.8
66.1,9.5,-0.3,2544,-3.6,214.3
59.4,17.7,4.9,3293,2.9,195.4
50.6,12.4,-8.6,2350,-23.3,138.5
66,11.4,2.2,3753,25.2,206.4
65.1,5.4,1.3,1050,-8.6,143.7
59.5,14.2,-3.8,5600,-2.8,174.6
61.7,10.5,4.4,2460,15.4,191.8
62.9,6.6,-9.2,3188,-4.7,176.1
36.1,17.2,-7.2,5830,-31.3,80.4
63.5,18.8,-0.2,4190,-2.3,199
65.1,15,2.6,3500,17,209.2
64.2,11.7,10.2,1874,12.4,205.3
52.9,3.7,2.2,2060,-5.1,90.6
65,12.2,0.6,2630,-21.4,211.3
65.6,4.6,1.7,1490,-4.1,149
58,18.9,4.7,2958,1,193.4
72.5,14.7,-2.8,2010,-12.2,254.5
54.1,10.5,8.1,4693,10.8,156.6
62.3,16.5,5.4,3630,-7.4,195.9
57.4,15.4,-3.6,3130,-2.8,186.9
54.4,13.2,-5.7,4878,-3.1,161.2
57.5,10.9,0.8,3163,9.5,166.3
42.9,22.4,1.6,5330,-4.9,118.8
65.1,13.5,2.7,2560,-16.4,218
59.8,14.8,5.7,4056,2.6,188.7
33.3,11.4,-1.4,3430,-23.2,59.4
44.9,15.8,2,4278,21.7,119.1
59.2,18.4,3.3,3960,0.6,187.2
72.3,9.5,1.2,3270,7.2,241.1
64.6,15.3,4.9,3530,-5.9,205.7
53.8,5,-3.1,2705,-13.5,120
70.3,13.9,-0.7,2892,2.9,238.6
48.4,3.9,-20.2,2550,-64.5,42.5
31.8,29.8,8.3,4910,9.6,77.1
57.6,14.9,1.4,3551,16.3,181.8
36.1,26.1,2.9,5040,5,93.6
51.7,6.4,2.2,1130,-28.3,85.7
52.6,10.5,-3.9,2971,13.1,145.3
75.4,11.1,4.2,2790,4.8,260.7
55.5,16.9,-3.6,4407,-1,168.9
58.4,15.3,-0.1,2524,0.1,193.7
66.9,16.1,-4.9,1936,0.5,235
65.8,12.8,1.5,2793,7.5,222.1
71.1,11.3,3.7,2090,7.3,242.2
64.3,15,-3.9,3947,2,203.6
54.2,11.8,4.2,1719,2.1,153.6
50.8,11.7,-3.6,5947,23,135.5
40.3,26.2,17.5,7740,23.8,103.5
67.1,12.9,2,2210,-11.6,227.5
10.5,14.6,-6.6,1400,-24.7,5.7
50.5,10.4,-8.1,5709,19.7,132.7
58,13.9,6.1,4160,8.2,179.9
59.8,21.4,7.6,5130,2.8,176.5
59.3,15.9,-1.5,4680,-1.2,182.2
63.8,0.2,4,1720,-62.9,4
58.3,13.4,-0.1,5412,15.4,170.1
60.7,7.7,0.2,2310,-7.5,172.7
67.3,10.9,8.3,2400,-1.1,221
61.9,1.2,-0.8,1140,35,39.7
75.9,13,1.9,2500,-16.4,265.2
68.2,1.4,-4.7,1980,-57,47.7
52.8,19.7,0.6,7130,3.2,142.8
56.6,11.9,-6.6,3480,-7,175.8
59.1,5,-2.9,1710,-13.2,122.3
70.7,14.9,4.8,2694,4.8,246.9
56.7,16.8,5,4720,19.5,169.8
41.6,29.3,3.3,7100,-2.5,108.9
49.8,12.7,-0.9,2780,11.1,142.9
57,9.1,-6.8,4337,-6.7,169
64.2,12.3,-3.7,3070,5.5,213
67.4,3,1.1,1140,-21.8,116.3
59.5,17.7,0.3,4310,7.2,182.4
58.3,15.1,4.6,2798,-6.7,191.3
43.6,15.1,3.1,2890,3.1,119.4
35.6,0.9,-7.6,2220,-85.3,4.4
48,31,-13.1,9850,-8.4,119.9
50.6,19.3,2.9,2982,5.7,160.3
65.1,15.3,-0.6,3958,-9.2,208.9
64.4,15.3,3.2,3480,-0.4,205.9
60.4,11.6,-3.1,1583,-4.8,183.6
67.5,13.7,-2.4,3570,1.8,223.2
27.4,27.1,-2.8,4584,5.7,59.8
64.7,15.4,1,3250,-20.6,212.3
28.3,17.6,-18.7,8140,-46.5,47.9
53.8,19.9,-3.5,4800,3.9,160.5
44.6,14.3,5.4,4400,13.2,120.4
59.3,16.7,4.4,4106,4.1,186.5
66.1,9.1,3.6,1930,-18.2,198.4
68.3,13.7,-6.5,2320,-17.5,233.3
52.9,19.3,0.3,4390,6.8,160.2
64.1,14,8.2,3380,6.7,205.3
62.7,13,2,3010,-6.1,207.1
59.2,14.1,-1.2,4040,-1.9,183.8
38.2,19.5,0,3280,4.2,101.5
68.1,10.7,2.6,2010,-12.1,222.7
21.4,33.8,-5.9,2350,-9.3,40.7
65.4,15.7,-0.6,5879,8.1,191.1
66.9,14.8,0.4,2820,1.3,230.1
34.8,22.4,1.1,5375,8.2,86
64.2,9.5,0.1,3850,13.9,201.4
45.1,19.8,1.1,5740,-3.3,124.6
63,13.4,-0.4,5410,0.6,187.2
47.3,16,1.7,3350,14.1,138.1
63.9,8.3,-3.6,1830,-35.7,163.2
66.6,11,1.5,2910,-11.1,220.2
62.9,0.1,-0.6,1220,-31.5,4.5
71.6,16.1,-0.1,2960,-4.5,238.9
66.1,10.4,-1.5,5311,-7.9,198.9
23.7,19.5,2.2,2980,-1.7,39.9
49.1,13.1,-2.2,3592,20.3,132.9
64.5,6.7,-6.9,1580,-9.4,168.5
53.3,0.9,3.6,1890,-82.6,7.7
51.2,11.4,0.3,3706,2.8,143.2
55.2,23.5,-5.5,6900,-9.5,150.8
60.2,6.7,0.2,2770,-8.8,171.4
73.5,15.3,-2.8,3411,-17.8,242.5
66.3,7.2,-1.4,3040,15.1,204.9
65,12.4,1.1,3039,-10.5,215.6
63.5,8.7,1.1,1870,-2.9,187.3
55.5,0.2,-8.2,1920,-8.7,9.5
58.3,14.3,-3.2,3070,7.5,189
39.4,11.3,-10.4,3830,-49.6,71.8
63.1,14.8,3.7,2860,4.8,210.1
23.6,13.2,-7.6,2310,-30.2,29.2
59.2,13.6,1,7462,21.9,164
73.8,16.2,0.4,3230,-10.9,247.8
59.5,11.6,-3.2,3290,7.8,188.9
67.3,10.8,3.1,2090,-8.7,220.6
67,10.2,0.2,2160,3.7,218.2
52.8,7.8,0.5,3676,8.4,145
68.9,12.1,3.6,2990,2.1,234
64,9.4,2.5,3810,24.8,194.5
67.6,12.4,4.2,3020,-1.5,228.8
58.5,12.5,3.6,7330,26.5,159.8
55.5,21.4,6.1,4980,21.1,163
67.2,9.9,1.2,1740,-14.6,209.1
66,11.7,0.6,2010,1,218.4
66.4,10,5.1,2180,-13.6,209.4
55.6,15.6,-1.7,5780,-11.1,160.3
57.1,12,4,2940,15.8,176.3
49.6,28.9,-4.8,8510,5.1,128.7
52.6,16.3,-12.1,3620,-7.5,162.8
62.9,15.5,3.7,5160,7.1,186.3
51.3,16,3.8,2350,9.2,159
45.9,29.1,-17,8920,0.8,116.9
26.1,28.6,-7.7,6150,-8.1,54.5
75.4,16.1,-0.3,3570,-9,246.6
64.4,10.8,4.5,2100,-5.9,206.7
33.1,20.4,-2.9,3530,-7.3,78.3
12.1,30.1,-2.5,3400,0.6,13
30.2,19.6,6,3230,7.5,65.2
65,13.8,3.1,2800,-15.3,217.6
69.4,6.6,5.5,1320,-14.8,185.9
31,11.1,-20.7,3890,-42,45.6
39.5,18.6,-15.9,5610,-29,98
70,8.9,-3.4,2750,10.5,228
58.5,5.4,-1.6,1700,5.3,129.7
50.8,10.3,-1.4,2920,-5.1,141.8
72.2,12.6,0.9,1460,-9.2,247.8
74.8,13.1,-0.1,2470,-4,260.5
57.1,17.3,5.9,3662,15.9,180.9
56.6,8.4,8.2,2740,-2.5,162.2
66.3,9.4,0.1,2220,-7.9,210.9
65,7.4,-6.1,3315,1.3,196.9
73.9,13.7,-2.2,2660,-6.6,255.4
64.3,13.5,2.7,5515,-15.3,190.9
8.7,49.7,0.7,2690,2.8,7.4
42.3,20.8,-4.5,5841,-3.3,114.9
49.3,5.7,0.5,2330,-8,100.1
62.1,13.8,3.3,3770,26.3,193.3
36.1,35.6,-5,7070,-4.2,87.9
59.7,6.3,-0.5,2450,-14.3,156.6
26.4,9.3,1.6,6961,16,31
58.7,18.8,9,4540,12.4,176.3
61.1,5.6,-1.7,2561,-28.4,148
40.5,19.5,-2.8,3472,-4.3,111.8
74.6,5.6,-0.3,2670,-0.3,238
64.5,15.6,4.2,4180,13.2,203.8
32.6,13.7,-19.4,4620,41.7,57.7
60.4,12.8,-2.4,1688,-0.9,190
64.9,13.9,2.4,2389,-24,213.8
68.8,11.9,-1.6,1870,-20.7,225.3
71.5,13.1,0,2630,1.9,246
53.7,7.7,-1.6,2730,-12.5,140.5
59.7,13.5,-1.4,3139,-3.8,194.2
54.2,4.7,-3.8,2490,-37.1,93.4
10.8,29.9,-3,3300,2.5,10.4
61.3,15.7,3,3040,-1.2,204.7
66.1,10.3,-3.1,2270,-33.6,195.1
66.9,11.2,2.1,2330,-1.6,223.3
40.1,19.2,7.6,6743,18.8,97.1
44.7,18.8,-4.4,6581,-6.9,110.6
59,13.8,-2.1,2180,-11.4,190
62.1,9.4,7.4,3951,7.3,193.1
64.8,5.3,-5,1818,-18.1,157.4
57.9,27.3,-2.2,7780,-14.1,151.3
18.1,26.5,0.5,4760,3.5,27.1
55.1,14.6,-4.2,3240,-3.5,174.7
58.9,13.6,-0.8,6998,23,156.9
51.8,12.8,-3.6,3884,-5.6,153.7
39.3,24.8,-2.7,4820,-2.2,106.5
58.6,6.2,0.6,1930,-42.4,112.7
65.3,12.1,4.2,2450,28.4,206.7
66.6,17.9,-1.7,4281,-1.6,208.6
53.6,24.3,-1.6,5320,5.2,151.2
40.9,25.8,2.6,5260,4.8,111.2
42.2,28.1,5.6,8310,-1.4,108.4
62.1,14.2,-3.2,6203,10.9,180.3
62.5,13.6,-2.2,2790,-2.4,209.1
66.8,7.7,-0.1,3411,-6.5,212.9
65.2,10.4,0.4,2240,-27.7,197.9
51.2,9.2,-4.5,3247,8,132.7
62.5,14.9,-1.6,2493,-5,212.4
33.5,21.7,5.4,2014,2.7,82.6
22.1,19.7,12.6,4178,37.2,33
40.8,17.1,2.5,3823,22.8,106.4
70.4,14.8,3.4,2063,6.5,249.5
41.8,24.1,5.7,5760,5.4,113.7
60.7,15.7,-2.8,2680,-10.2,203.6
46.8,8.9,-13.5,3556,-7.7,109.5
52.5,15.2,-3.2,3180,-14.9,161.1
47.7,17.8,-6.7,4680,-14.7,136.8
39.2,11.7,1.7,2880,27.4,83
58,10.3,6.5,2910,9.3,177.8
57.2,12.9,-2.3,5030,-4.7,169
77.4,14,8.5,2780,2.9,271.9
45.5,16.7,2.4,2320,-2.1,131.5
62.6,9.9,-1.4,2480,-23.1,188.4
19.8,24,-11.2,3140,-22.1,30.4
59.2,10.7,-1.2,4130,0.9,180.2
67.7,13.1,1.4,2450,-3,233.3
62,8.9,0.2,1710,-18.3,172.1
60.6,12.3,-3.8,2843,-24.6,187.4
37.8,21.5,7.3,3921,2.2,100.5
26.4,47.3,-20.7,5730,-15.7,52
57.7,21.8,4.8,5940,6.8,164.5
26.3,24.8,-1.3,5550,-9.3,53.9
66.8,13.5,5.6,2716,-5.1,228.3
68.1,12.5,2.1,3711,-5,223.1
71.5,15,-0.5,5522,6.1,210.5
69.7,9.1,-1.4,2240,-25.1,215.6
61.4,18.9,0.3,3600,-7.5,199.1
16.2,15.1,1.4,2220,-3.7,14.8
66.8,12.4,0.5,3136,-1.7,223.9
67.5,13,0.5,1960,-10.1,229.2
50.3,11.4,-1.2,2660,-8.9,141.2
62.2,14.9,0.6,3360,-6.3,204.6
57.2,10.1,1.5,3300,3,175.4
66.3,11.1,1.1,4557,21,202.7
65.9,12.5,-1.9,2700,-36.2,202.2
70.9,11.5,-1,2790,4.1,242.4
46.8,20.7,3.2,7040,-11.4,126.5
71,10.6,-0.6,2640,4.3,241.5
48.3,16.2,-5.6,3080,3.7,145.2
54.7,19.1,6.7,3200,8.1,176.6
20.1,30.4,1.2,2380,0.3,35.5
59.7,10.6,3.2,3450,1.8,184.4
47.4,20,2.9,6893,-7.6,129
55.6,9.5,-0.3,2872,-4,163.5
71.6,14.8,-2,3190,1.2,241.8
56.8,5.6,-2.2,2280,-36.2,111.5
60.5,12.2,-3.6,5100,-4.3,181
64.5,16.7,-1.3,3810,-1,206.8
27.1,30,1.4,6170,6.4,59
59.6,14.9,2.2,4150,13.1,180.2
71.3,6.9,3,4490,15,219.6
63,9.4,7,2450,5.9,195.3
66.7,12.6,3.3,2777,-15.6,222.9
47.2,15.4,-4.7,6418,6.2,126.4
73.6,16.5,-1.2,2156,-11.8,263.1
83.2,10.1,2.3,2370,-3.1,293.8
20.2,28.9,-1.7,5376,-0.7,34.7
68.5,7.1,0.7,1800,-13.6,197.5
51.1,19.8,1.1,7662,-2.8,140.1
57,9,-7.1,4528,-7.2,168
58.3,12.3,0.5,2570,-7.7,184.7
62.3,11,6.1,3780,20.7,193.2
52.9,11.1,-3.8,3130,7.3,155.6
63.8,13.2,4.4,2600,-16.4,207.2
51.9,11.7,-4.1,2720,-12,150.2
70.6,13.5,-1.1,2872,-2.1,240.2
68.3,8.6,1.1,1930,-42.5,178
70.7,4.9,0.4,2050,-15.9,194.4
74.1,11.7,1.6,3665,5.3,245.2
66.9,14.2,2.7,2050,-23.2,224.1
63.3,17,7.8,3787,4.9,204.3
72.3,7.3,-3.5,1720,7.3,220.9
59.1,10.2,-1.8,4577,14.2,167.5
66.2,7.3,-0.4,1630,-6.6,184.8
65.9,10.3,-1.1,2008,-14.5,208.1
65.6,9,2.8,1825,-12.9,196.3
56.8,6.1,-5.7,2470,-37.8,118.2
55.4,7.9,5.5,3100,18.9,151.4
44.7,25.7,1,8740,-1.4,116.6
30.2,0.9,-5.9,1330,-80.1,3.5
53.2,24.1,-2.3,5830,-8.1,150.4
55.2,6.7,2.4,2660,-7,142.3
57.8,5.1,0.6,2030,-7,131.8
57.6,10,3.3,3100,-15.7,172.5
65.3,10.6,-1.5,2850,3.6,213.1
46.4,0.9,-9,2590,-65.7,10.8
36.5,19.2,6.9,2659,3,93.4
63.3,14.7,2.8,3310,-16.7,207.8
66.7,12.4,1,2510,-31.3,211.2
53.5,25.1,0.1,6850,10.7,146.2
49.8,6.8,-10.4,2340,-27.1,100.3
37.3,30.4,3.7,5580,8.5,96.7
58.2,13.8,0.9,3610,8.5,182.2
74.8,14.3,-0.9,3385,-6.1,251.7
66.7,10,2,3361,8,217.3
69.5,12.1,2.1,2250,-12,236.1
66.1,8.3,3,1990,-3.5,200.6
43,22.9,1.7,8540,-5.4,114
52.1,18,-1.6,6330,1.9,143.7
62.9,15.8,7.8,5517,15.6,185.9
49.3,17.8,0.6,2943,3.9,152.9
