BallSpeedMPS,VerticalLaunchAngleDeg,HorizontalLaunchAngleDeg,SpinRateRPM,SpinAxisDeg,CarryDistanceM
60,6.9,-7.1,4697,13.4,163.8
57.8,10,-3.3,3120,-15.2,174.3
50.3,7.5,-1,3871,2.3,132.2
76.3,10.2,0.6,4260,-12.1,238.3
32.1,24.3,-1.2,4870,2.2,76.9
38.8,31.7,0.5,4139,-10.4,104.5
72,15.3,-1.6,3750,-11.9,230.7
72.2,17.6,3.2,3574,-4.6,235.3
56.6,5,-1,2240,14.3,123.8
36,14.9,18.1,7281,30.6,76.1
47.8,20.3,-0.9,6380,-0.5,132.6
73.6,10.7,3.4,4102,0.9,244.1
63.7,6.8,-1.7,1870,-32,153.7
47,11.7,6.1,3147,27.4,119.7
57.5,20.3,2.5,6731,3.9,160.3
39.1,21.9,-1.1,4780,12.2,103.9
65.8,12.5,0.4,2322,-10.1,220.7
13.4,27.1,-1.8,2850,-3.3,15.1
59.5,7.7,-2.5,1950,-18.5,154.1
64,13.7,-3.3,3230,7.2,212.3
31.7,12.5,9.1,3400,21.8,56
65.7,12.8,1,4251,7.5,204.4
56.6,16.7,4.3,4373,14.7,173
56.7,18.1,-2.3,3290,-9.7,183.7
40.1,0.6,-1.1,1400,-87.3,4.1
59.1,6.5,-4.7,2129,-9.1,150.7
57.7,11.1,2.6,2420,15.2,173.5
66.3,11.5,5.2,2590,7.9,221.1
50.5,10.7,-2,4052,7.1,137.4
63.8,11,-3.7,3888,3.2,203.7
54.2,15.3,10.9,6674,19.8,151.4
8.4,50.6,-1.4,1290,10.3,6.9
60.8,15.1,2.4,4160,8.7,191.2
63.1,8.4,-2.9,1550,-31.1,161.3
67.4,13.9,3.1,2177,-10.6,232.1
60.6,18.4,9.3,4020,8.8,191.6
48.8,11.7,-0.1,3725,5.4,133.4
77.5,11,1.4,2349,0.3,272.1
48.1,23.8,-5.7,6690,-13.7,132.4
59,9.7,-3.2,2590,-9.2,178.2
57.1,5.3,10.6,3170,17.6,147.5
65.4,11.9,-0.2,4038,7,205.7
36.7,19.1,-1.7,3980,-1.6,93.1
61.1,19.3,3,3552,-2,198.7
43.4,8.3,19,7512,53.6,71.5
56.6,12.7,-1.5,3750,-2.5,172.3
33.6,18.9,26,6080,32.2,73
62.9,16.5,-2.7,2799,2.5,211.7
35,17.8,-4.1,4310,2.8,83.4
39.8,22.9,-19,7590,-27,100.7
60.7,15,2.6,3640,-10.7,195.5
67.6,17.1,2.3,3060,-1.6,231
61,11.1,-5,2686,4,195.8
68.2,15.8,-3.4,4020,-0.6,218.6
45.4,16.6,2.6,2700,3.2,131.3
55.6,15.1,7.4,3790,19.7,170.7
49.4,17.3,8.9,4624,5.5,145.1
62.5,12.6,-0.2,2740,-20.7,201.4
57.1,15.2,-0.4,4145,2.1,177.8
63.8,15.8,4.5,3500,-4.9,209.8
73.6,12.4,-0.2,2474,7.3,254
13.4,10.8,20.7,1370,51.1,7.1
54.9,14.7,-0.9,6180,-4.8,156.7
58,17.2,4.7,7319,21.5,161.3
55.1,11.9,6.3,2660,18.1,163.9
59.3,14.8,0.4,4320,5,181.5
65.5,10.8,-1.4,2650,12.1,214.4
57.7,19.3,2.6,5020,-2.2,172.7
59,4.4,1,2200,-55.3,81
54.4,15.5,-1.7,3250,-2.4,172.3
56.1,3.3,3.2,1490,-2.5,80.8
66.3,9.7,-0.4,1900,-19.7,202.3
56.6,12.9,-4.4,3282,-5.1,178.4
61.7,16.6,-1.9,4513,7.9,190.9
74,10.3,0.3,3293,3.3,249.3
43.2,31.9,-0.1,8620,-4.1,109.7
60.8,13.4,-1.3,5740,1.6,178.3
67.4,13.9,2,2957,-2.2,229.9
62.2,15.3,5.4,3720,4.4,195
66.3,12.4,3.1,3328,13.6,218.2
70.9,12.2,3.2,3910,3.5,228.5
62.7,14.2,-3.5,3370,-16.7,203.8
69,11.4,-3.8,2070,-14.1,226.1
61,9.4,-0.3,2680,-1.7,189.2
34.1,21.8,-1,5658,10.1,82.5
60.4,13.3,-3.5,3070,-5.1,196.7
59.3,10.6,2.4,3500,0.8,182.2
73.5,16.3,-1.5,3080,-14.4,248.9
43.4,24.4,3.4,5250,1.7,120.8
63.2,15.5,-0.1,3810,-8.5,197
35.8,13.9,0.3,6380,12.8,78
55.6,15,-4.6,2240,-18.8,174.8
66.3,13.2,0.2,2530,-2.4,227.1
65.8,12.3,3.4,2620,8.3,221.2
58.5,7.9,0.1,2250,-14.8,158.4
65.8,8.4,0.3,2010,-21.9,191.1
70.2,6.6,-7.6,2540,-7.9,220
71.9,11,-0.5,3220,0.5,239.1
64.5,12.6,-1.6,2750,-22.7,209.6
45.9,29.5,-13.1,8500,-17,119.2
46.6,17.5,5.7,3710,7.1,136.9
39.5,37.9,-14.7,7930,-12.1,94.9
32.9,23.5,0.7,4910,7.7,79.4
56,19.9,-0.4,4940,6.2,167.1
49.5,24.7,3.8,6528,15.1,135.5
54,19.7,-1.7,3790,-3.6,169
56.7,5.7,0.5,2320,-6.8,138.9
63.1,13.1,2.4,2790,-17,206.7
67.2,10.2,3.4,4902,4.1,206.3
10.5,21.1,31.8,2070,41.4,7.7
11.6,30.8,-1.1,3331,1.1,12.1
54.9,5.9,-4.5,2490,-25.2,120.9
40.6,14.3,-4.8,2810,2.9,103
32.5,14.7,-4.2,11629,4,27.6
58.6,7.9,-2.1,2350,-4.2,164
67.4,14.4,-1.1,3060,-6.3,227.3
65.5,10.4,-1.2,2600,-6.8,214.7
66.6,9.9,3,3327,5.3,217.6
66.9,4.7,-2.9,2150,-50.9,120.2
74,19.4,3.9,2806,-1.4,255.2
75.4,10.1,1.9,2907,4.2,256.5
53.9,9.8,0.8,2410,14.1,148.4
53,16.3,3.2,3340,4.4,166.7
61,16.8,-1.4,3963,17.6,192.7
48.1,10.2,6.3,1324,-0.1,103.7
71.3,9.6,2.3,2050,-8.1,234.7
47.1,20.1,4.9,3800,3.9,140.7
69.9,15.2,-0.5,2500,1.2,246
57.4,12.9,0.5,4521,-0.7,163.2
43.7,17.3,8.2,3500,11.8,123.2
67.2,12.8,0.8,2390,-4.8,230.2
58.8,11.3,2,3000,-15.9,182.4
61.5,17.3,1.5,2872,5.7,205.3
67.8,12.3,-0.7,3515,6.4,224
23.4,11.5,19.3,2240,43.6,24.4
47.5,18.3,2.9,6570,-9.1,129.7
46.4,22.9,-1.2,8070,1,123.3
57.4,11.5,-4.5,3850,-6.3,177.2
62.7,9.7,-0.2,3175,7,199.8
63.8,8.2,0.9,2060,-19.9,181.8
49.1,6.8,0.9,2340,-31.8,95.3
57.8,10.4,6.8,6095,37.7,156.4
34.6,28.2,4,4720,8.6,88.4
69.8,11.8,3.1,2784,-0.8,238.5
41.9,20.9,0.5,6813,8.2,111.5
62.7,10.1,-8.1,1820,-31.9,174.9
59.9,12.1,-4.3,2270,-35.9,172.2
67.1,13.5,-0.5,2740,10.3,228.6
43.7,5.3,-1.8,2130,-7.8,65.1
52.2,11.9,5.4,2390,20.8,146.2
62.8,12.1,-1.4,2830,11.2,205.2
72.4,12.2,-1.6,3030,-8.9,245.3
63,10.4,-6.8,2909,-13,190
58.1,14.1,-1.6,4944,-3.8,175.3
62.8,12.7,4.4,2950,2.7,203.5
69,8.6,4.6,1860,-17.2,209.1
46.3,17.9,10.6,3870,17.5,133.4
60.4,11.2,-1.4,2012,-2,187.3
33.7,14.5,6.1,4817,34.2,66.2
64.4,12.6,1,2660,-26.6,206.1
62.9,10,-6.6,3170,5.3,199.7
69.8,10.3,5.1,4023,-2.3,224.7
63.8,10.3,0.8,2625,-24.7,196.3
58,19.7,6.3,6535,24.8,163
58,17.8,0.1,4447,3.3,178.6
56.4,17.9,-1.1,2960,-7.1,185.5
57.4,7,2.6,2130,-16.8,142.2
63.8,13.3,-3.5,2435,14.6,211.1
61.4,13.4,2.4,3110,-5.4,201.7
59.4,13.4,-3.2,3627,4.9,186.3
74.2,15.6,-2,3190,-20,248.1
64.4,5.3,-2.9,2620,-4.2,183.3
67.5,11.7,8,2690,4.8,223
50,15.4,8.1,3921,29.7,137.4
