BallSpeedMPS,VerticalLaunchAngleDeg,HorizontalLaunchAngleDeg,SpinRateRPM,SpinAxisDeg,MaxHeightDistanceM
56.3,16,2.8,6620,2.5,108.2
58.1,6.2,-4.1,750,-16,60.5
72.3,10.8,3.5,2240,7.7,160.6
66.3,13.1,4,2223,-14.4,141.7
61.6,5.9,-1.1,1900,-37.2,76
66,9.3,7.2,2050,0.5,130.8
66.6,11.9,-0.1,2750,-8.3,146.3
36.9,22.7,2,6530,11.2,55.9
75,16.6,-3,3640,-19.9,169.4
20,17.9,25.4,5178,38.1,13.2
65.3,14.9,5.3,2910,-5.5,147
55.1,22.5,3.7,5300,0.9,109.2
57.3,16.6,2.6,4220,-6,118.6
67.2,10.5,0.6,3236,-5.9,149
71.8,12.9,-2.8,2240,4.1,162
75.2,15.5,-0.6,3180,-7.4,176.7
58.5,14.3,2.1,4630,10.7,118.4
71.7,10.1,0.3,3910,-6.3,159.6
63.3,15.8,1,3690,5.9,138.4
69.1,11.2,-0.3,3792,-8.6,154.6
70.6,11,0.8,2590,-2.1,159.2
66.4,11.8,5.1,2800,-2.7,146.7
50.9,21.2,0.7,6203,0.9,94.7
64.8,15.7,2.3,3621,-9.8,143.6
63.3,17.3,2.1,3990,-12.7,133.6
64.7,10,5,2070,-12.2,126
62.4,10.7,-4.9,2520,-31.3,113.5
72.2,11,0,2734,-9,164.8
40.9,16.8,-2.2,4428,-5.2,65.7
56.2,7,-6.2,3130,4.2,99.4
60.7,18.1,1.5,4620,7.7,125.4
68.7,9.9,2.4,2380,-18.7,141.7
56.4,19.4,3.4,4690,13.7,113.7
60.1,10.6,-8,2251,-17.5,111.3
32.1,34.7,-3.6,9690,0.3,46.6
67.4,12.1,1.5,2530,-3.9,149.1
66.4,9.4,-1.6,590,-8,107.4
66.8,12.5,0.7,2730,-4.1,148.7
48.2,34.7,0.4,6154,0.5,85.8
58.9,8,0.7,2010,-14.7,93.3
55.5,4.6,-7.6,2150,-10.9,64.9
70.7,12.8,-0.2,2765,-10.8,161.6
64.1,9.5,1.9,2610,23.9,122.9
61,11.2,7.4,2800,0,126.3
38,26.3,11.1,5730,16.4,60.8
51,14.5,2.6,3437,3.7,90.6
63.3,13,3,2240,-4.7,133.2
34,21.4,1.8,4670,12.3,48
60.2,4.3,1.3,3870,3.4,104.5
65.9,12.9,1.5,2570,2.1,145.6
62.2,15.8,1.2,1508,3.5,127.9
58.5,8.5,-3.4,4798,5.9,110.8
66.5,6.8,6.7,1470,-12.9,105.2
72.7,14.3,-2.8,1820,-11.5,164.5
73.8,19,2.2,2554,-0.5,175.9
63.8,10.8,-3.7,2600,-10.9,132.2
56.6,3.8,3.8,2826,9.1,73.5
52.1,7.5,-0.3,1500,3.5,61.4
62.2,16,6.8,3410,2.5,136.8
11.4,31.2,-1.5,3281,1.3,6.3
35.1,21,-7,4930,2.9,51.2
52.9,10.2,1.3,4307,15.6,89.8
65.5,14.9,2.9,2585,-26.5,138.5
60.6,17,-1.8,5403,6.9,123.7
63.8,10.6,-0.7,2155,-2.9,127.6
73.6,19.9,4.7,3269,-2.3,171.6
58.4,3.3,0,2545,-27.4,64.3
51.7,18,1.2,6650,3.4,94.5
66.4,10.4,0.5,2660,17,138.9
64.5,13.4,2,2700,-20.3,136.8
50.6,28.3,8.5,9580,12.8,89.7
53.3,6.2,-7.3,4711,15.9,85.1
69.2,12.5,-1.5,2230,-7.3,151.8
52.3,0.3,-5.8,1290,-43.4,3
62.1,13.9,-4.4,5450,-3.7,126.9
58.1,14.9,0.3,2990,9.3,121.1
39.7,15.8,-10.9,4090,-36.6,53.9
54.3,14.8,8.5,1140,-24.9,89.1
63.1,17,1,3330,-6,140.4
74.3,13.8,-3.4,3140,-16.7,171.2
66.9,15.8,6,3430,3,151.6
57.8,9.6,4.3,3655,5,115.2
18.5,31.2,3.4,3690,5.9,16.6
55,10.1,8.4,5018,17.3,102.9
48.5,20.1,-6.7,5861,-13.7,88.5
65.6,14.4,2.6,2260,-11.3,143.2
56.8,7.8,-0.7,2360,-2.3,93.5
67,11.4,5.3,2300,4.8,143.3
63.3,11.1,-1.8,2951,11,133.3
55.1,4.9,-3.9,2000,-64.9,33.7
65.1,7.4,2.3,2685,3.3,130.6
13.7,27.4,-4.3,2770,-2.6,8.3
45.1,24.7,-0.3,5740,9.6,79.1
61.3,11.2,2.6,2300,-3.7,121.8
47.4,9.9,-4.2,1800,26.2,57
61.2,9.8,1,3381,1,127.5
68.7,8,5,1740,-17.1,125.5
50.2,7,10.7,3635,10.3,79.5
51.2,13.5,7.5,4300,13.4,95.4
57.5,15.6,1.8,2620,-3.4,119.8
71.8,12.8,-2.9,2768,1.3,165.7
74.9,10.2,-1,2660,-6.5,171.6
35,18.2,4.2,4480,-3.4,48.8
68.7,11.3,-3.1,2250,-20.1,143.2
45.7,11,0.3,3910,-9.7,73.9
61.8,10.6,-1.9,3072,-9.6,128.3
63.1,15.7,7.2,3560,4.3,139.3
46.5,13.5,-2.2,2440,-2.2,76.2
55.1,9.7,12.7,3531,28.7,97.1
57.1,10.5,-0.8,3293,2.1,106.4
46.6,22.4,3.7,7590,-5.9,81.5
58.9,19.4,2.7,2604,14.6,126.6
59.6,10.1,-2.4,2870,-2.5,119
62.1,16.7,2.3,3890,-10.6,134.1
60,19.1,12.3,4850,12.9,123.4
63.5,16.7,-3.6,4504,-5.7,135.8
68.5,15.7,0.6,3210,-2.9,157.7
64,12.7,3.2,2600,-14.9,134.6
52.2,12.6,0.7,2297,-10.1,86.7
74.2,13.7,-0.9,2980,6.5,175
40.8,13.2,1.9,2340,-1.5,55.5
56.2,5.7,-11.9,3438,-30.6,83.9
66.2,11,0,2644,-13.7,140.7
63.9,11.8,2.4,3710,5.4,139
61.4,13.2,4.4,3310,-1,132.4
12.4,27.5,-5.2,3120,0.6,6.9
66.3,20.4,-0.1,3940,2.8,146.8
57.6,17.2,6.2,2535,2.3,121.9
57.4,17.7,4.4,4317,14,117.6
23.5,17.2,6.1,2770,10.3,19.3
48,8.3,0.3,2830,-16.9,66.5
63.4,6.4,-2.6,3050,17.1,120.8
12.5,29.5,-3.1,3890,-1.7,7.4
59.7,16.9,-2.6,4050,17.7,124.7
43.1,19.4,-3.1,3890,-6.5,75.1
62.3,8.2,-2.2,2420,-6.8,117.2
74.3,13.4,-1,2060,-24.2,161.8
62.7,7.4,2.2,2080,-0.2,111.4
50,15.2,2.1,4821,15.3,92
63.4,18.2,0.2,4100,-3.7,137.9
67,13.6,-0.3,3000,13,149.8
70.4,14,5.4,3520,9.3,160.9
64.9,9.2,1.8,2250,-20.8,122
61.8,7.5,-3.7,2010,-19.8,99.3
62.7,12.9,-0.9,3000,-0.6,136.2
36.5,22.5,-5.4,5936,-2.4,56
36.9,26.4,2.6,5210,3.6,59.1
72.5,9.6,-0.9,2030,3.9,155.3
50.8,19.9,-0.4,4270,12.2,98.8
56.4,9.9,-2.3,2850,9.3,105.1
50,12.1,-6.1,5691,26.7,80.7
68.5,12.5,1.4,3040,9.4,154.8
56.9,11,6.2,2760,21.1,104.6
54.5,17.3,1.3,4050,-3.2,110.7
52,13,2.3,2501,-9.1,88.3
51.4,6.4,-1,1610,-41.7,44.5
56.3,18.8,1.2,2787,14.9,117.7
37.7,16.3,4,2270,-21,50.2
69.6,13.6,3,4150,6.3,154.1
63.2,12.3,-1.1,2760,-13.3,133.5
73,14.4,0.1,2390,-6.2,168.2
65.6,12.8,5.1,2580,-8.5,143.6
49.6,13.1,7.2,1620,20.3,74.2
14,15.4,3.4,3290,-17.3,5.7
60.5,16.5,1.8,4280,1.5,125.2
66.3,12.7,-4.6,3357,-6.5,148.1
72.9,9.3,-1.6,1880,-15.8,149.8
65.5,15.5,2.8,3350,-11.7,146.2
61,8.7,-2.7,5152,-5,123.5
65.4,15.2,-2.2,3762,-5.5,145.1
61.7,12.9,-5.4,3710,5.2,132.6
65.3,14.4,3.6,3133,-9.3,145.9
60.2,10.4,-7.1,3350,5.3,123.7
57.8,10.2,-0.8,3347,0,111.6
61.7,11.6,-1.2,2784,-47.3,99.9
72.5,11,-2.9,1350,-50.2,116.8
69.9,12.2,-4,2240,-9.9,154.5
17.5,32.2,-3.3,5440,-0.7,15.1
56.5,15.7,2.2,4344,8,115.1
53.8,8.9,2.7,2660,-11.4,89.6
12.5,32.2,-0.3,3750,2.9,7.8
56.5,1.3,2.7,1250,-0.9,20.8
60.7,6.1,14.6,2031,13.5,90.5
74.9,15.8,1.5,3870,-9.5,168.8
59.8,14.2,0.1,6564,13.5,113.7
66.2,3.4,-3,1520,-16.1,76.4
61.7,6.9,0,2210,7.8,104.8
72.2,10.7,-3.1,1780,-31.8,139
61.9,22.8,-3.1,2056,-5.8,140.8
66.2,10,-2.4,2916,-37,122.2
51.2,6.3,1.2,2690,-22.1,67.8
59.3,8.1,0.7,2027,-19.6,93.4
60.1,19.1,9.8,4570,3.6,126.1
44.3,12.7,-3.2,2430,-4.2,66.5
64.3,11.2,-1.6,4327,-0.8,138.3
57.8,18.5,4.8,4820,16.6,116.8
57.1,16.3,2.8,6340,2.3,110.9
64.2,1.9,3.6,1160,-7.5,45
56.3,5.6,4.3,2280,-21.8,75.4
74.1,14.3,0.4,2733,-9.1,174.2
60.6,11.2,-3.8,2806,-5.4,124.4
41.2,9.9,11.4,2280,39.6,40.6
67.6,12.4,2,2550,-1.2,150.6
65.7,8.1,-0.4,2784,-13.5,121.8
58,15.7,2.5,4800,18.8,116
62.7,18,-0.8,4370,4.4,133.3
65.2,8.2,1.8,1740,-12.1,113.7
23.3,25.4,-15.7,4920,-40.6,22.4
52.6,16.6,-1.1,3580,10.7,104.3
33,2.9,1.4,5287,-8.9,8.7
48.6,11.4,-7.9,5881,20.1,78.3
73.8,10.4,-1.6,2050,2.8,163.1
60.9,16.8,-0.1,3810,1.1,131.8
70.9,11.2,-1.1,3200,4.6,160.7
35.6,17.7,1,4560,18.1,49
64.2,15.1,1.1,1645,-1.3,134.9
52.8,19.2,-0.1,3340,-3.3,106.7
62.5,10,-3.5,2780,-10,127.4
49,22.1,1.6,7020,-1.4,88.5
58.4,10.5,-5.5,2970,-7.4,115.6
55.2,8.2,3.8,3896,21.5,89.5
64,20.3,1.5,4300,1,138.3
46.1,9,-6.9,4071,9.1,65.3
67.3,5.1,-1,1620,-33.5,84.7
64.1,14.5,0.3,2592,-7.1,141.1
67.5,11.5,-0.8,2299,-12.3,143.7
66.6,11.6,1.3,3448,11.4,147.3
57.3,12.1,-2.2,2473,-0.1,111.5
52,5.2,-5.3,1958,-29.2,48.1
65.7,10.3,-4.6,2230,-14,132.1
71.3,16.8,-1.2,2348,-5.6,167.3
42.1,18.1,7.9,6062,12.5,68.9
56.5,6.2,3.1,4223,18.8,101.5
52.1,11,-2.1,3951,15.8,91.2
47.3,10.7,-1,1970,-42.8,54.8
63.3,9.9,0.9,2410,-21.7,120.3
23.4,13.1,-8,1302,20.8,14.2
76.3,9.9,-2.3,2120,-13,169.3
50.1,12.6,-3.3,4038,5.5,88.8
50.2,12.7,-5.4,3110,9.9,90.6
43.6,14.4,-3.7,2004,-16.1,61.6
54.3,19.8,12.1,4630,9.3,108.4
60.5,12.9,-0.1,3898,4.1,128.3
66.2,15.3,1.7,3080,0.7,150.4
42.6,18.2,9,3670,17,71.4
64.5,10.5,1.5,2090,-26.7,118.8
61.1,15.1,-3.1,5790,-2.3,122.9
64.3,8.9,0.2,1690,-13.6,112.6
46.3,13.7,-1.4,2640,-7.9,75.9
69.1,8.5,2.4,1700,3.3,131.9
36.6,36.2,0.9,7780,-3.4,57.8
72.6,9.3,2.8,3470,11.7,164.8
57.2,19.3,2.1,5616,8,113.6
62.9,5.8,0.4,1420,-35.8,73.6
55.6,19.2,-3.2,3590,13.6,113.8
52.1,13.6,5,3080,0.8,91.8
57.7,15.8,3.9,2500,10.9,119.1
33,6.9,16.1,1950,60,15.3
64.1,0.3,-1.9,1910,-59.5,4.8
57.7,17.6,3.8,3360,3.3,123.2
66.2,10.6,-0.6,3720,6.1,143.7
46.3,11.6,-1.2,1589,47.5,47.3
34.4,39.2,3.2,6710,4,52.8
36.3,21.6,4.3,6533,1.6,54.2
65.8,13.7,3.1,3363,3.8,147.4
60.8,19.1,1.3,2933,-4.4,134.9
64,13.7,-0.8,2889,5.5,141
67.1,8.6,-0.4,3377,-11.1,145
66.7,9,6.1,1920,-11.2,126.8
57.1,16.8,0.4,7256,-2.4,108.9
72.7,12.6,-3.7,3296,-7.3,167.9
69.4,7.7,7.3,1570,-10.8,126.4
60.5,10.4,3.9,5503,38.1,96.2
62.8,14.5,4,3717,0.3,137.4
56.1,15.3,4.8,5493,13.2,109.5
54.2,11.9,1.3,1654,-7,88.7
52,7.2,1,2600,-24.6,71.8
57.5,8.2,-1.7,1940,-5.3,89.9
67.7,14.4,2.9,2810,4.9,154.7
58.9,9.3,-5.9,3050,-26.2,106.6
59.3,10.9,0,2940,20.6,114.7
46.6,18.6,1.3,4100,-6.6,85.9
64.2,13.6,4.9,2620,4.4,140.5
62.1,16.4,4,4855,11.1,129.6
19.7,33.5,2.3,4080,4,19.4
39.1,2.8,-6.9,1810,-70.4,9
56.9,15,2.1,2230,-1.2,114.2
60.3,16.4,-0.4,2975,-3.6,131.6
64.2,14.3,3.5,1965,-21.1,131.2
52.9,13,-6.8,3180,-24.4,95.4
58,3.8,-5.4,2070,-6.3,66.7
29.7,25.4,5.2,3880,2.9,39.2
53.7,17,2.5,3331,0.8,108.9
39.6,0.4,12.6,1700,30.6,2.1
13.9,16.7,2.7,2110,2.6,6
51.2,15.1,-5.6,3280,-23.1,94.3
66.6,9.8,1.1,3896,18.2,136.2
65.6,13.7,2.6,2830,4.3,146.9
37,20.7,-3.6,3560,4.8,57.3
49.7,11.6,1,3510,20.4,84.7
69,11.9,3.1,1370,-25.8,131.6
52.2,21.3,0.9,7360,-1.5,96.5
55.9,21.5,7.8,5140,6.1,108.7
43.6,20.8,2.5,4120,1.2,77.5
48.1,21.1,3.2,4961,1.2,90.3
58.4,16.2,-0.2,4818,11.8,118.9
59.1,16.5,3.3,4360,13.5,122.4
67.6,5.8,-4.1,2210,-0.1,124.3
48.2,8.8,-0.3,1989,2.5,64.3
49.6,18.3,2.9,3640,-2.1,96.1
57.4,10.2,3.5,3530,6.5,113.6
47.4,21.4,2.9,4040,1.9,89.9
70.7,10,-1.7,2838,-3.4,159.4
64.7,12.3,4.7,2550,-6.2,138.6
62.7,11,-0.5,4440,8.4,130.8
66.5,5.3,2.6,1400,-23.2,87.9
70.8,4.7,-8,2030,-9.4,124.3
63,7.3,3.3,2729,10.2,120.6
11.3,27.4,1.5,3070,-5.9,5.7
52.8,14.7,-9,4050,-18.4,100.8
57.8,17.3,3.5,4700,14.5,114.7
67.2,8.4,-1.6,1500,-19.2,115.1
68.3,6.4,-2.8,2565,-10.5,135.4
46.3,28.9,5.2,6110,0,83.8
63.4,11.2,0.9,2630,17.5,129.3
58.7,11,-3.4,4604,11,115.1
65.2,11.5,5.6,1780,-4.7,129.8
56.2,12.9,-3.1,5630,0.2,109.6
63.1,18.1,5.7,4980,18.6,129.2
77.1,13,5.7,2370,-2,183.8
55.5,25.7,1,7590,5.8,103.7
59.1,15.5,0.8,2970,6.6,126
59.6,11.2,2.6,2910,-4.4,121.4
60.6,11.7,-0.9,3250,-7,127.2
61.3,19.7,1.4,4290,-1.8,130.8
48.5,10.9,5.7,1264,2.1,64.3
62.8,11.2,1,2590,-15.4,127.7
37.3,10.7,-11.6,10942,31.9,41.4
51.9,12.3,0.8,2280,-20.1,86
48.9,9.3,-2.3,2363,7.8,62.9
42.5,28.4,-1.1,6000,0.9,73.9
61,17.1,2.2,4424,14.6,126
31.1,19.7,-4.7,2226,-13,37.6
67.6,12.6,0.5,2935,-2.8,152.7
66.5,13.5,2.2,2710,-22.2,143
64.2,7.3,0.1,1950,-9,110.7
58.8,13.4,-7.7,3460,-6.1,123.3
60.6,17.2,-1.1,3360,22.4,126.5
31.9,10.5,-16.5,13081,-48.3,24.6
63.7,14.5,1.1,2640,1.5,139.6
64.6,13.5,-3.4,2100,-22.6,131.4
71,13.8,1.1,1773,3.4,158.1
60.1,10.1,-6.5,2490,-20.6,110.7
58.3,10.8,2,5433,10.1,110
64.5,11.1,0.7,2020,-22.8,122.6
55,11.4,-1.9,2960,-8.5,104.5
44.1,8.6,17,3580,48.6,44.2
61.8,10.5,-2.7,2440,4.3,123.9
71.7,10.9,2.8,2620,1.2,163.1
56.5,13.8,2.2,2454,10.7,110.7
72.7,11.7,5.8,2700,-8.3,167.4
59.7,19.1,1.5,4810,-8.8,120.1
50.2,3.2,-6.4,1530,-51.8,10.1
35.5,7,-5.8,3812,10.7,30.3
54.2,16.2,0.6,5750,-1.9,103.8
46.8,0.1,11.4,6918,1.6,48.4
72.5,11.6,0.4,2641,1.8,165.9
57,13,1.2,4160,-8.3,115.6
66,8,-0.1,1970,-3.2,122.6
63.8,13.1,6.1,2030,-13.2,130.8
68.4,14.5,1.5,3260,0.7,156.7
53.2,13.5,7.3,3150,17.2,100.5
65.8,13.3,1.4,2820,-19.2,142.2
58.7,17.9,0.9,3520,-1.3,124.5
9.3,52,-0.4,2280,0.7,5
39.2,15.8,4.1,6954,14.7,57.5
65.4,10.7,-2.5,3200,8,141.7
68.8,8.9,-3.4,4829,1.8,148.7
59.5,13.6,6.3,3890,16.7,122.8
66.7,13.2,1.5,2610,1.2,149.1
70,12,-4.8,2800,-12.5,157.8
58.2,15,-4.9,5401,10.7,110.1
52.8,7.4,-8.9,2196,-69.3,40.6
66.9,12.6,2.6,2380,-9.4,145.8
60.2,14.1,-2.8,3680,-9.6,127.7
62.2,8.4,2.5,2740,0.2,123.2
57,19.1,0.6,4100,11.5,118.2
71.4,13.3,3,3096,15.9,163.2
65,7.6,0.3,4657,-9.7,136.3
60,20.2,6.2,4076,4.2,127.8
66.8,11.1,-6.6,2470,-22.9,136.4
65.6,8.2,0.4,2040,-22.5,115.5
64,5.9,-13.2,3260,-30.9,111.3
55.8,17.2,-0.8,4360,5,113.8
65.6,11.9,0.1,2400,-1.1,141.2
76.2,12.4,5.3,3070,12.1,178.9
64.8,14.4,3.7,3048,8.3,144.5
71.3,14.8,-1.9,3290,-8,164.1
39.9,36.8,17.3,8400,16.5,64.6
38.9,21.9,1.8,5540,13,61.6
71.2,17.6,3.7,3820,7.5,161.8
45.2,21.8,-0.3,4110,-3.1,83.3
62.2,14.3,-0.1,5208,14.6,127.3
59.5,13.5,-4.8,3688,-0.1,125.8
53,13.1,-7.2,4339,-26.2,96.2
51,20.2,-0.6,4240,12.1,99.6
75.4,14.4,-1.3,3260,-8.4,175.1
59.9,12.4,-2.2,1910,-48.9,90.4
44.5,17.3,0.2,5135,-10.8,76.6
61.8,15.7,-1.4,3230,-20.8,131.5
53.8,15.6,-2,3540,0.2,107.2
60.4,15.8,-2.6,3530,2.2,130.7
63.6,11.2,0.8,3040,-5.4,136.8
53.9,20.6,-1,6047,-3.7,103.4
66.5,12.5,3.7,5270,-1.8,140.5
49.7,11.6,-7.9,3600,-59.5,57.9
60.6,18.9,-2,4960,8,123.8
16.8,15.8,-2,2400,-12.3,8.5
56,18.7,1.3,4130,2.2,115.7
67.3,8.2,2.5,3803,5.5,147.1
66.5,11.6,-1.6,2100,-2.4,140.1
74.2,10.5,1.7,2180,2.5,166.7
60.5,14.5,-1.8,4796,7.2,125.6
50.6,10.1,8.5,4120,10.2,89.7
63.8,13,3.4,5500,25.5,126.5
54.9,20.8,-4.1,6455,-8.9,105.4
61.2,4.5,-6.3,2190,-9.7,87.1
62.4,15.5,-2.6,2953,-9.8,136.9
44.1,20.6,0.3,7196,-4.9,75.7
58.4,9.1,5.3,1640,15.8,89.8
63.3,5.7,0.9,1240,-22.4,77.5
57.3,7.4,-7.9,770,0.1,67.7
47.4,23.8,-0.9,7090,-2.8,84.5
62.5,4.8,-3.8,1640,-26.2,72.6
48.8,15.8,-3.5,3230,4,90.9
48.4,17.4,3.5,4960,8.1,89
45.8,27.5,6,7510,-2,80.9
70.3,6.6,4.2,1490,-33.1,106.9
56.7,18.9,-1.8,3271,17.6,118.2
62.3,18.2,0.6,4656,11.4,130.1
54.8,16.6,-2.3,2821,6.6,111.8
62.9,12.7,-1.3,3992,7,133.6
58.9,10.6,7.2,2890,-2.4,117.6
65.5,11.2,3.1,2530,-17.9,135.8
46,16,0.8,2610,-1.2,80
65,10.3,0.5,2420,-19.3,129.3
56.2,18.2,2.3,3500,1.3,118.1
13.8,18.1,1.1,1167,-7.1,6.2
64.5,8.7,-0.2,1490,-35.8,95.5
65.2,13.1,-3.5,2200,-14,137.3
72.4,13.3,0.4,2150,-9.2,164.1
72.6,6.2,-3.9,3010,-32.2,139.2
46.1,5.1,-1.9,2560,-39.3,36.4
66.8,7.9,-2.2,1670,-17,115
37.6,13.7,9.3,8176,27.2,47.9
65,11.4,0.8,4700,3.1,138.9
42.1,32.7,-4.1,7760,-12.5,70.8
55.1,16.6,-2,4160,-0.5,112.3
66.3,12.9,2.2,2418,-36.3,128
70.8,10.8,1.3,2350,10.8,155.3
51.9,33.4,-0.8,9230,2.6,91.9
67,10.6,-1,2658,-35.5,126.6
64.7,7.5,-8.2,2580,-25.3,116.5
67.1,16.7,-0.7,2790,0.3,154.7
22.6,1.9,3.7,2000,-18,2.3
64.3,14.5,2.8,2750,5.2,142.9
28.1,6,-3.5,150,-36.4,7.6
48.8,17.6,1.5,3760,-6.9,92.6
62.2,9.3,-0.2,1910,-17.8,108.4
45.5,11.1,-0.1,2046,-4.1,62
66.2,12.3,1.5,2700,-8,145.6
61.4,9,-2,2220,-15.5,110.4
65.7,12.2,0.2,4170,-1,142.1
59.8,17,2.7,2810,13.5,127.4
44.4,17.7,3.3,2770,3.8,77.1
59.3,13.6,-9.5,3920,12.9,123.3
61.9,17.5,2.8,3430,13.2,133.2
66.6,10.4,1.2,2694,-9,143.1
58.3,9,0.3,3400,-4.9,115
43.2,17.9,0.4,5079,-5.4,72.4
29.9,27.2,-0.2,3590,0.8,40.8
46.2,13.1,-6.2,3080,-9,76.5
72.9,15.4,4.5,3300,-4.9,168.5
55.5,20.3,12.5,4820,7.8,111.5
57.7,6.3,2.9,2040,-11,81.5
64.5,14.9,6.1,3310,6.6,143.7
71.5,8.1,4.1,4574,22.1,151.9
57.1,8.4,6.3,4947,31.9,84.6
18.2,41.8,-1.7,3203,2.2,17.7
30.5,15.9,1.4,4810,5.8,33.9
63.3,11.4,1.4,2460,-2.4,131.7
32.7,17.2,0,3530,4.6,41.1
66.9,8.5,2.5,1990,-11.7,127.8
44,15.9,-1,3381,-4.1,74.8
50.1,4.7,2.2,2470,-32.1,47.1
54.3,15.5,12,3650,24,104.9
60.9,6.6,-6.1,1580,-22.6,81.5
46.8,21.4,2.6,4980,-5.3,86.4
21.4,13.3,-1.1,7299,-10,13
10.6,33.8,-0.9,3470,-1.1,5.7
34.4,12.5,13.5,4090,40.9,34.1
36.4,17.5,-0.5,6459,8.4,51.7
66.5,9.8,0.3,1790,-31.5,115.2
73.7,15.3,-0.1,3761,-9.5,166.3
56.3,10.4,-0.5,2390,-8.3,100.7
32.4,28.2,-18.2,6490,-26.1,45.4
65.5,12.6,1.2,2193,-16.2,136.5
59.5,7.1,-3.4,2000,-18.2,88.8
57.5,15.7,0.3,2867,5.4,120.6
65.9,8.5,-2.3,3041,1.3,140.6
44.3,22.7,9.1,7079,7.7,76.7
63.9,13.4,1.2,3198,-7.7,140.6
49.8,19.9,0.1,11768,6,86.8
50.2,16.9,-9.2,4963,-12.7,92.5
56.7,16.1,3.9,4096,2.6,117.1
51.4,4.6,-9.3,2850,-72.8,25.8
66.6,11.9,1.5,2290,-2,143.2
64.2,15,3.5,2078,-14.3,136.8
59.1,13.1,6.8,2610,-0.9,121.5
60.9,10.4,-4.5,2810,-16.1,120.5
56.7,10.4,-0.3,4838,1.4,112.1
50.6,26.8,-3.8,4992,5.5,97.3
21,3.7,8.8,1280,72.5,3.1
74.9,17,-1.4,3180,-14.4,174.5
66.1,11.4,4.9,2390,-14.1,138.2
29.3,18.5,5.2,5220,9.9,33.2
38,7.7,1.9,9962,34.2,36.3
52.7,13.8,-0.3,1450,0.6,87.7
49.4,21.3,2.6,7447,3,89.4
37.1,27.1,-3.5,8667,14.2,56.9
50.2,15,-2.2,3902,5.1,95.3
63,12.2,-2.5,2840,7,134.5
45,17,3.2,2880,4.4,78.6
39.3,19.3,1.7,4380,2.7,62.9
63.4,14.5,-4.2,4490,16.4,131.8
65.8,9.8,5.8,2010,-17.6,125.6
58.3,19.2,0.4,4043,13.1,121.3
12.7,19.3,1.1,2250,1.5,5.5
58.9,13.3,2,3590,3.5,123.5
66.6,12.5,2.1,2417,-9,145
60,13.3,-12.1,2820,-52.3,94.3
45.6,14.4,10.8,3747,29,76.7
54.7,11,2.9,1897,4.9,90.6
65.6,15.6,2,3410,-3.3,144.3
52.6,20.3,2.3,3430,12.9,106.4
65.3,13.3,1.2,2230,-9.9,139.7
65.6,12.1,4.1,3020,5,145.3
66.8,11.9,3,2570,24.6,138.3
40.5,19.2,1,4360,11.5,66.1
63.6,11.8,-0.6,2193,-4,130.7
74.2,12.8,-0.9,2479,7,172
46.8,13.1,0.1,4371,13.2,80.2
44.5,23.5,1.5,5490,-4.1,79.4
56.7,9.7,-1.5,3330,-2.4,110.6
42.1,21.4,-1.7,5660,-8.7,69.4
46.8,8.3,-1,2806,-2.9,60.4
56.8,11.7,-3.5,2840,8.1,111.2
65.2,11.7,-1.7,3570,2.2,144
63.6,4.8,-2.9,1700,-30.9,73.4
71.8,11.2,-0.9,2820,5.8,163.5
19.1,15.6,4.2,2680,4.4,11.3
66.1,9.5,-0.3,2544,-3.6,138.3
59.4,17.7,4.9,3293,2.9,128.9
50.6,12.4,-8.6,2350,-23.3,81.3
66,11.4,2.2,3753,25.2,138.1
65.1,5.4,1.3,1050,-8.6,82.9
59.5,14.2,-3.8,5600,-2.8,119.2
61.7,10.5,4.4,2460,15.4,120.1
62.9,6.6,-9.2,3188,-4.7,112.8
36.1,17.2,-7.2,5830,-31.3,47
63.5,18.8,-0.2,4190,-2.3,137.5
65.1,15,2.6,3500,17,140.8
64.2,11.7,10.2,1874,12.4,126.4
52.9,3.7,2.2,2060,-5.1,51.9
65,12.2,0.6,2630,-21.4,135.1
65.6,4.6,1.7,1490,-4.1,88.3
58,18.9,4.7,2958,1,125.6
72.5,14.7,-2.8,2010,-12.2,165.1
54.1,10.5,8.1,4693,10.8,102.5
62.3,16.5,5.4,3630,-7.4,133.2
57.4,15.4,-3.6,3130,-2.8,120.6
54.4,13.2,-5.7,4878,-3.1,106.3
57.5,10.9,0.8,3163,9.5,104.6
42.9,22.4,1.6,5330,-4.9,74.7
65.1,13.5,2.7,2560,-16.4,140.1
59.8,14.8,5.7,4056,2.6,126.6
33.3,11.4,-1.4,3430,-23.2,32.6
44.9,15.8,2,4278,21.7,73.2
59.2,18.4,3.3,3960,0.6,126
72.3,9.5,1.2,3270,7.2,165.2
64.6,15.3,4.9,3530,-5.9,140.5
53.8,5,-3.1,2705,-13.5,71.9
70.3,13.9,-0.7,2892,2.9,161.4
48.4,3.9,-20.2,2550,-64.5,22.2
31.8,29.8,8.3,4910,9.6,46.2
57.6,14.9,1.4,3551,16.3,118.2
36.1,26.1,2.9,5040,5,56.9
51.7,6.4,2.2,1130,-28.3,46.2
52.6,10.5,-3.9,2971,13.1,89.2
75.4,11.1,4.2,2790,4.8,176.8
55.5,16.9,-3.6,4407,-1,112.3
58.4,15.3,-0.1,2524,0.1,122.2
66.9,16.1,-4.9,1936,0.5,149.4
65.8,12.8,1.5,2793,7.5,145.7
71.1,11.3,3.7,2090,7.3,155.6
