BallSpeedMPS,VerticalLaunchAngleDeg,HorizontalLaunchAngleDeg,SpinRateRPM,SpinAxisDeg,MaxHeightDistanceM
63.7,6.8,-1.7,1870,-32,90.3
47,11.7,6.1,3147,27.4,73.6
57.5,20.3,2.5,6731,3.9,110.7
39.1,21.9,-1.1,4780,12.2,63.1
65.8,12.5,0.4,2322,-10.1,140.6
13.4,27.1,-1.8,2850,-3.3,8
59.5,7.7,-2.5,1950,-18.5,91.3
64,13.7,-3.3,3230,7.2,141.1
31.7,12.5,9.1,3400,21.8,30.6
65.7,12.8,1,4251,7.5,141.2
56.6,16.7,4.3,4373,14.7,114.5
56.7,18.1,-2.3,3290,-9.7,119.5
40.1,0.6,-1.1,1400,-87.3,2
59.1,6.5,-4.7,2129,-9.1,90.5
57.7,11.1,2.6,2420,15.2,107.2
66.3,11.5,5.2,2590,7.9,143.5
50.5,10.7,-2,4052,7.1,86.1
63.8,11,-3.7,3888,3.2,138
54.2,15.3,10.9,6674,19.8,100
8.4,50.6,-1.4,1290,10.3,4.2
60.8,15.1,2.4,4160,8.7,128.9
63.1,8.4,-2.9,1550,-31.1,94
67.4,13.9,3.1,2177,-10.6,148.1
60.6,18.4,9.3,4020,8.8,129.6
48.8,11.7,-0.1,3725,5.4,82.6
77.5,11,1.4,2349,0.3,181.5
48.1,23.8,-5.7,6690,-13.7,86.7
59,9.7,-3.2,2590,-9.2,111.4
57.1,5.3,10.6,3170,17.6,94.8
65.4,11.9,-0.2,4038,7,140.9
36.7,19.1,-1.7,3980,-1.6,55
61.1,19.3,3,3552,-2,133.8
43.4,8.3,19,7512,53.6,41.1
56.6,12.7,-1.5,3750,-2.5,114
33.6,18.9,26,6080,32.2,41.7
62.9,16.5,-2.7,2799,2.5,139.3
35,17.8,-4.1,4310,2.8,48.5
39.8,22.9,-19,7590,-27,61.6
60.7,15,2.6,3640,-10.7,129.9
67.6,17.1,2.3,3060,-1.6,156.1
61,11.1,-5,2686,4,124.9
68.2,15.8,-3.4,4020,-0.6,152.4
45.4,16.6,2.6,2700,3.2,79
55.6,15.1,7.4,3790,19.7,110.3
49.4,17.3,8.9,4624,5.5,93.3
62.5,12.6,-0.2,2740,-20.7,128.4
57.1,15.2,-0.4,4145,2.1,118
63.8,15.8,4.5,3500,-4.9,141.4
73.6,12.4,-0.2,2474,7.3,169.3
13.4,10.8,20.7,1370,51.1,3.6
54.9,14.7,-0.9,6180,-4.8,104.8
58,17.2,4.7,7319,21.5,108.7
55.1,11.9,6.3,2660,18.1,100.6
59.3,14.8,0.4,4320,5,122.6
65.5,10.8,-1.4,2650,12.1,138.5
57.7,19.3,2.6,5020,-2.2,117.3
59,4.4,1,2200,-55.3,44.2
54.4,15.5,-1.7,3250,-2.4,110.2
56.1,3.3,3.2,1490,-2.5,44.6
66.3,9.7,-0.4,1900,-19.7,124.2
56.6,12.9,-4.4,3282,-5.1,115.1
61.7,16.6,-1.9,4513,7.9,130.3
74,10.3,0.3,3293,3.3,172
43.2,31.9,-0.1,8620,-4.1,73.4
60.8,13.4,-1.3,5740,1.6,122.4
67.4,13.9,2,2957,-2.2,153.5
62.2,15.3,5.4,3720,4.4,132.7
66.3,12.4,3.1,3328,13.6,146.2
70.9,12.2,3.2,3910,3.5,159.5
62.7,14.2,-3.5,3370,-16.7,134.7
69,11.4,-3.8,2070,-14.1,144.9
61,9.4,-0.3,2680,-1.7,120.3
34.1,21.8,-1,5658,10.1,48.6
60.4,13.3,-3.5,3070,-5.1,128.3
59.3,10.6,2.4,3500,0.8,121.1
73.5,16.3,-1.5,3080,-14.4,170.8
43.4,24.4,3.4,5250,1.7,76.9
63.2,15.5,-0.1,3810,-8.5,134.7
35.8,13.9,0.3,6380,12.8,45.6
55.6,15,-4.6,2240,-18.8,106.1
66.3,13.2,0.2,2530,-2.4,147.3
65.8,12.3,3.4,2620,8.3,143.6
58.5,7.9,0.1,2250,-14.8,95.7
65.8,8.4,0.3,2010,-21.9,117.1
70.2,6.6,-7.6,2540,-7.9,144.2
71.9,11,-0.5,3220,0.5,164.3
64.5,12.6,-1.6,2750,-22.7,134.4
45.9,29.5,-13.1,8500,-17,79.1
46.6,17.5,5.7,3710,7.1,85.4
39.5,37.9,-14.7,7930,-12.1,64.1
32.9,23.5,0.7,4910,7.7,46.6
56,19.9,-0.4,4940,6.2,112.6
49.5,24.7,3.8,6528,15.1,90
54,19.7,-1.7,3790,-3.6,110.8
56.7,5.7,0.5,2320,-6.8,84.6
63.1,13.1,2.4,2790,-17,133.2
67.2,10.2,3.4,4902,4.1,143.9
10.5,21.1,31.8,2070,41.4,4
11.6,30.8,-1.1,3331,1.1,6.4
54.9,5.9,-4.5,2490,-25.2,70.9
40.6,14.3,-4.8,2810,2.9,59.6
32.5,14.7,-4.2,11629,4,14.5
58.6,7.9,-2.1,2350,-4.2,100.3
67.4,14.4,-1.1,3060,-6.3,152.8
65.5,10.4,-1.2,2600,-6.8,138.8
66.6,9.9,3,3327,5.3,146.5
66.9,4.7,-2.9,2150,-50.9,68.4
74,19.4,3.9,2806,-1.4,176.2
75.4,10.1,1.9,2907,4.2,175.3
53.9,9.8,0.8,2410,14.1,88.9
53,16.3,3.2,3340,4.4,106.4
61,16.8,-1.4,3963,17.6,128.9
48.1,10.2,6.3,1324,-0.1,58.5
71.3,9.6,2.3,2050,-8.1,150.4
47.1,20.1,4.9,3800,3.9,88.8
69.9,15.2,-0.5,2500,1.2,162.3
57.4,12.9,0.5,4521,-0.7,115.4
43.7,17.3,8.2,3500,11.8,74.9
67.2,12.8,0.8,2390,-4.8,148.5
58.8,11.3,2,3000,-15.9,116.4
61.5,17.3,1.5,2872,5.7,134.9
67.8,12.3,-0.7,3515,6.4,152.6
23.4,11.5,19.3,2240,43.6,12.6
47.5,18.3,2.9,6570,-9.1,83.8
46.4,22.9,-1.2,8070,1,80.8
57.4,11.5,-4.5,3850,-6.3,116.4
62.7,9.7,-0.2,3175,7,131.4
63.8,8.2,0.9,2060,-19.9,111
49.1,6.8,0.9,2340,-31.8,53.9
57.8,10.4,6.8,6095,37.7,99.5
34.6,28.2,4,4720,8.6,53.5
69.8,11.8,3.1,2784,-0.8,158.9
41.9,20.9,0.5,6813,8.2,69.6
62.7,10.1,-8.1,1820,-31.9,103.7
59.9,12.1,-4.3,2270,-35.9,103.3
67.1,13.5,-0.5,2740,10.3,150.4
43.7,5.3,-1.8,2130,-7.8,35.3
52.2,11.9,5.4,2390,20.8,86.8
62.8,12.1,-1.4,2830,11.2,132.8
72.4,12.2,-1.6,3030,-8.9,166.9
63,10.4,-6.8,2909,-13,118.3
58.1,14.1,-1.6,4944,-3.8,118
62.8,12.7,4.4,2950,2.7,134.6
69,8.6,4.6,1860,-17.2,131.4
46.3,17.9,10.6,3870,17.5,82.7
60.4,11.2,-1.4,2012,-2,114.4
33.7,14.5,6.1,4817,34.2,37.1
64.4,12.6,1,2660,-26.6,130.8
62.9,10,-6.6,3170,5.3,132.4
69.8,10.3,5.1,4023,-2.3,156.1
63.8,10.3,0.8,2625,-24.7,123.8
58,19.7,6.3,6535,24.8,109.7
58,17.8,0.1,4447,3.3,120.2
56.4,17.9,-1.1,2960,-7.1,119.1
57.4,7,2.6,2130,-16.8,84.3
63.8,13.3,-3.5,2435,14.6,134.5
61.4,13.4,2.4,3110,-5.4,132
59.4,13.4,-3.2,3627,4.9,116.6
74.2,15.6,-2,3190,-20,170
64.4,5.3,-2.9,2620,-4.2,117.8
67.5,11.7,8,2690,4.8,148.1
50,15.4,8.1,3921,29.7,83.5
54,7.5,-2.7,2700,-5.4,86.7
52.8,5.6,-3.9,2610,-21.1,66.4
64.2,11.3,-3,2480,-25.4,126.1
67.1,10.9,2.6,2140,-11,139
45.4,22.1,-12.4,6970,-12.5,79.3
73.7,14.9,2,3220,2.5,171.2
62.3,1,-5.6,2040,-33.8,32
53.7,15.4,-0.6,3120,-11.1,106.5
65.2,1.4,-0.6,2120,-4.3,71.1
57.1,23.5,0,5222,-10.3,113.8
56.6,16.6,0,4070,1.4,117.1
52.9,12.1,2.4,1420,8.9,82.1
57.5,15.4,-2.7,2490,-6.7,118.4
56.3,14.3,-1.9,1762,10.6,104.4
60.3,12.8,0.8,6120,6.9,120.1
68.4,16.1,0.9,2640,1.4,158.4
55.5,16.3,2.5,6560,-3.8,106
66.8,9,-8.1,2690,-16.9,137.1
60.2,13.6,-2.7,3617,-7,128.2
45,16.7,3.4,7703,9.3,74.3
72,15.1,1.3,3170,-4.3,167.4
51.1,4.2,-14.6,3210,-72.8,24.1
65.2,12.6,0.3,2238,-25.6,130.3
61.3,11.8,2.3,2910,-12.3,127.2
53.6,8.2,2.5,2740,5.2,88.8
32.4,15.9,-5.1,4310,-2,38.9
60.3,12.8,0.1,2910,9.6,125.9
64.6,15.9,0.1,2610,-15,142.9
52.3,12.2,-4.4,4020,-22.8,94.7
65.6,13.3,1.5,2611,0.6,145.4
63,4.4,-4.7,1920,-22,79.3
67.5,15.1,0.4,2430,4.2,153.7
62.4,11.2,0.4,3110,5.5,132.9
66,13.3,1.3,3090,-4.4,148.1
31.3,11.8,-8.5,3070,-21.3,28.4
56,8.8,-7.4,4451,-11.6,106.9
71,14.5,0.3,2561,1.8,164.7
72,10.8,0.1,2473,6.3,162.3
65.1,11.5,0.6,2740,-3.4,141.2
67.5,10.7,-4.7,3335,0,151.3
56.1,18.5,1.4,4090,-10.1,115.3
64.5,10.5,0.7,2230,-34.9,114
63.7,10.9,0.6,2079,-11.1,119.5
67.8,5,2.7,1470,-6.6,99.5
59.1,9.7,0.8,4888,15.2,113.8
57.7,13.1,6.6,3874,29.4,106.3
61.2,16.8,-2.2,4763,-0.6,128.4
61.6,17.2,3.4,2980,10.2,135.7
53.3,4.6,-0.4,1690,-17.2,48.2
62.6,18,3.4,4730,18.6,129.9
55.7,7.3,0,2650,-7.8,93.5
45.8,17,-0.4,2950,-2.2,81.5
55.4,21.1,6.7,6030,17.9,106.2
70.3,17.8,-0.3,2406,-10.1,161.7
66.4,11.3,4.4,2150,0.1,139.5
63.1,10.8,2.4,1590,6.3,116.3
60.2,15.3,-3.8,3444,-8.8,129.2
74.1,17.1,-0.6,2766,-11.1,175
64.4,10.3,5.6,2180,-19.7,124.1
75.8,19,-2.1,4170,-12.2,168.1
63.4,14.8,-4.8,3159,7.6,139.4
68.8,12.2,-0.3,4512,16.1,148.5
66.6,14.3,4.5,2990,8.8,150.3
37.4,29.4,0.9,5280,4.2,61.2
61.3,14.6,-3.8,3320,0.1,131.9
71.4,10.4,0.8,2130,5.1,155.1
41.4,21.7,-3.4,7570,7.9,75
55.9,0.1,1.9,2568,36.6,2.1
45.7,18.4,-1.8,3700,-10.5,82.5
64.6,8.5,0.2,2890,10.8,132.7
58,4.6,-2.1,2520,-53.2,47.8
61.7,5.5,-4.1,1360,-13.5,76.5
58.3,20,4.9,4710,10.4,119.7
67.7,12.1,1,2350,-5.3,148.1
46.5,28,-0.4,4851,2.3,85.6
62.8,13.5,0.5,3590,21,132.4
50.3,12.4,-3,970,-20.7,68.5
13.5,15.8,-4.2,1940,-17.6,5.3
73.8,10.4,2,2630,2,169.5
51.4,19.9,4.3,4797,16.5,98.4
62.6,19.2,11.8,4590,17.8,130.5
46.6,8.4,-4.1,1790,-28.7,48.5
54.8,2.1,-7.2,2160,-24.4,37.6
59.8,3.1,-1.4,1380,-32.5,41.8
46.4,21.4,5,7480,-4.4,81.1
62.8,13,-2.8,2910,-27,127.1
69,17.6,5.3,3810,-3.7,153.4
66.5,8.9,-2.9,2716,-43.8,109.5
66.9,17.7,5.2,4250,-2.8,147
58.3,22,1.2,5310,10.9,116
67.4,11.5,4.4,2460,-16.4,142.6
44,23,3.6,5450,0.7,77.9
61.4,16.8,1.3,3550,10.2,132.6
40.1,6.9,-2,4432,28.4,37.5
51.7,18.7,-3.3,5063,-15.6,98.5
42,16,2.5,4490,15,67.2
55.4,19.5,-0.4,4070,12.6,113.2
59.2,13.3,6.1,2420,18.2,116.6
59.9,19.2,-4.6,4743,2.8,123.6
51.5,5.4,-6.9,2480,-39.3,48
61.9,12.8,0.2,2672,3.2,130.9
67.2,13.7,4.3,2203,-5.7,148.3
73.4,7.9,5,3515,-1.5,167.8
61.6,1.5,-5.6,2312,-30.2,44.8
67.7,5.6,3.3,1340,-38.7,82.5
64.1,10.7,-2.4,2490,-27,122.9
69.7,15.1,-0.1,2888,7.5,159.8
37.9,13.9,-0.5,2175,11.8,47
57.2,19.7,0.4,3800,17.9,118.5
32.5,13.3,3.3,2342,-7.2,30.1
55.3,14.1,2.1,2090,16.1,102.3
68.8,10.2,1.8,3261,-13.6,152.2
64.2,15.1,7.1,3500,4.4,139.5
64.8,15.1,5.3,3270,6.6,145
36.9,0.9,0.7,3446,-1,4.5
44.3,16.4,-4.5,3440,8.4,76.3
55.6,7.8,-3.2,2440,-4.1,90.2
63.8,14.8,6.3,5210,17.3,131.2
65.9,12.1,2.4,2814,-1.1,145.6
64.3,10.7,-2.6,2360,-25,123.5
48.4,15.7,2.5,3510,-6.9,89.5
51.5,9.9,1.6,1720,0.8,73.5
14.1,20.4,-7.7,2660,-14.7,7.2
66.4,12.4,1.8,2560,3.3,146.1
58.2,8.5,-2.6,3000,-7.8,110.2
63,17.2,-1.2,4200,12,135.1
69.3,13.1,0.5,2997,-4.1,158.9
70.9,16.6,2.3,2584,2.7,165.4
58.3,19.1,12.7,3070,22,122.2
66.1,15.6,7.4,3650,1.1,144.7
56.3,15.9,4.9,5435,3.1,110.9
59.8,17.9,4.7,2900,5.8,129.4
63.7,10.3,3.8,3816,-1.6,137
74.2,16,0.7,3285,-2.3,172.1
24.8,24.7,4.8,2710,-2.4,26.9
69.6,16.6,-2,3250,-0.3,161.6
60.3,11.4,4.8,2925,10.7,123.4
63.6,13.5,6.1,2870,-14.3,135.6
62,19.4,4.8,3180,4.3,138.4
45,35.2,-1.8,8690,-4.2,76.8
51.8,6.7,-3.3,2320,-6,69.1
37.1,22.8,-4.9,3830,-5.2,58.9
57.9,17.8,1.1,6350,2.4,112.9
63.7,7.5,-3.1,3375,-4.8,132.4
23.8,19.2,2.6,2000,-2.4,20.8
38.2,17.9,1.1,3370,-4.3,58.2
52.7,21.8,0.7,5230,11.7,99.6
57.9,7.5,5.2,6683,34.9,92.8
11.3,27.8,0.5,3060,-11.4,5.7
55.9,11.4,-2.1,3410,-10,109.6
56,15.5,1,3470,4.1,115.8
65.8,12.9,-3.6,2820,-17.4,140.9
39.8,12.1,7.9,5756,37.8,46.7
60.5,14.3,-0.4,3309,2.1,129.6
40.6,14.2,-4.3,3540,6.5,61.3
75.1,9.5,2,2240,-23.7,158.5
67.2,17.7,-6.3,5723,-3.1,139.4
64.8,19.1,2.1,4677,6,138
43.2,20.7,8.9,4120,1.7,76.5
62.1,12.2,1.1,3050,-9,132.4
63.7,11.8,-0.1,1787,-3.8,125.6
53.6,18.3,2.9,3820,11.6,107.9
